selected_timetable_id,stage_d_input_id,scenario_id,topology_family,uniform_headway_min,span_id,span_start_min,span_end_min,public_route_count,public_route_ids_json,selected_phase_vector_json,robust_min_transfer_quality,robust_unweighted_mean_transfer_quality,exact_daily_bus_km,explicit_public_trip_count,exact_fleet_recovery5,exact_fleet_recovery10,exact_fleet_recovery15,s8_target_selection_semantics,phase_selection_rule,exact_timetable_constructed
D3RT1_738b7e6f6895a0a7,D4I2_81b61b3fc60c3e88,P2_da7fa54bb02d7ccf,short_turn_overlay,30,CORE_0600_2200,360,1320,2,"[""R2_fd09022dba81ca155b77"",""R2_e0a27791e448588b2a8c""]","[6,6]",0.429848031756,0.643432827518,391.916075296,64,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_73badcf35b1f2851,D4I2_ca3e988b2c8e09b1,P2_50df50536230ecb5,interlined_figure8,60,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_b2032eeb31cba06561f0"",""R2_c00dc4c0377db0a32cf8""]","[5,4]",0.230599833099,0.471347848302,313.564596678,36,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_73befa8215a36811,D4I2_e5b7cfb5ee6bc35b,P2_2c3fb4a3fba6d67c,interlined_figure8,60,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_23d58cd05658247380d7"",""R2_48ef7ec05348244b21a3""]","[39,42]",0.100254522747,0.305134994836,507.269037524,38,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_73bf325cf89a0243,D4I2_9153f8ed1995c0ad,P2_ea36aabdea3698f9,hybrid_interlined,30,CORE_0600_2200,360,1320,2,"[""R2_dbc7ef02fd6d81ac70ef"",""R2_bbe244e06be44e41e064""]","[12,8]",0.203061004459,0.603736749995,315.531391712,64,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_73c4a93200b09f3b,D4I2_13a4a6a62a2a65c3,P2_679657b2713acbd6,scheduled_extensions,15,CORE_0600_2200,360,1320,1,"[""R2_3fefc0a4235e6c4bfa00""]",[13],0.307270352549,0.519461002189,271.522321984,64,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_73cb2b17c43c1c88,D4I2_e6ba5a1321be9a22,P2_e9a204ae7ebd9eef,single_compact_loop,30,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_6d764429015746d0d27b""]",[16],0.127135732500,0.389720375443,426.067867675,37,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_73d33dba8a4a578d,D4I2_14b200dfeb5577d1,P2_283ca382fd8041f9,single_compact_loop,20,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_4a1be097fbefb31ad0ba""]",[14],0.337295245841,0.483681465740,351.209841584,56,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_73d3bd0c366024b8,D4I2_ebfa0f7076807a1b,P2_c86e4ddc14121efd,interlined_figure8,60,CORE_0600_2200,360,1320,2,"[""R2_a435d7f954cc62fe6610"",""R2_bc1d42637314bce3aa9b""]","[38,34]",0.156392963907,0.446815248578,436.682353552,32,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_73d8951d0641446d,D4I2_24bb452c8f4abffa,P2_e1e7af54bed5484a,single_compact_loop,30,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_a18a3b3c63510d43ccac""]",[4],0.218033134972,0.538993817210,381.071824278,37,1,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_73da2a3d0ba9b069,D4I2_2220e4f07a514153,P2_e1a9baeb355cf387,two_radial_out_and_back_feeders,20,CORE_0600_2200,360,1320,2,"[""R2_40023c3a09f861e4df2b"",""R2_62c068a99e94a7c1c286""]","[6,19]",0.328869714399,0.502732098816,436.164347328,96,2,3,3,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
