anchor_id,evidence_status,enabled,graph_node_id,source_kind,source_members,source_member_count,source_member_kinds,municipalities,representative_snap_distance_m,epoch_id
P2V2S_0098,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:532160.57:5064755.91,PROPOSED_STOP,P2V2S_0098,1,PROPOSED_STOP,Olgiate Molgora,0.136751,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0099,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531403.11:5064759.64,PROPOSED_STOP,P2V2S_0099,1,PROPOSED_STOP,Olgiate Molgora,5.334930,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0100,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:534325.75:5064775.80,PROPOSED_STOP,P2V2S_0100,1,PROPOSED_STOP,Brivio,16.719404,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0101,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:528306.16:5064794.26,PROPOSED_STOP,P2V2S_0101,1,PROPOSED_STOP,La Valletta Brianza,0.024591,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0102,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:528068.46:5064857.10,PROPOSED_STOP,P2V2S_0102,1,PROPOSED_STOP,La Valletta Brianza,3.372364,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0103,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530958.04:5064887.15,PROPOSED_STOP,P2V2S_0103,1,PROPOSED_STOP,Olgiate Molgora,2.094147,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0104,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:534836.01:5064882.55,PROPOSED_STOP,P2V2S_0104,1,PROPOSED_STOP,Brivio,4.269917,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0105,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531769.43:5064925.35,PROPOSED_STOP,P2V2S_0105,1,PROPOSED_STOP,Olgiate Molgora,11.008465,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0106,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:527682.21:5064935.92,PROPOSED_STOP,P2V2S_0106,1,PROPOSED_STOP,La Valletta Brianza,5.122215,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0107,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530405.14:5064947.18,PROPOSED_STOP,P2V2S_0107,1,PROPOSED_STOP,Olgiate Molgora,6.333463,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0108,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:532291.76:5064985.95,PROPOSED_STOP,P2V2S_0108,1,PROPOSED_STOP,Olgiate Molgora,1.889968,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0109,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:527383.19:5065051.81,PROPOSED_STOP,P2V2S_0109,1,PROPOSED_STOP,La Valletta Brianza,3.027405,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0110,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529415.35:5065060.15,PROPOSED_STOP,P2V2S_0110,1,PROPOSED_STOP,Santa Maria Ho̬,10.201946,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0111,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531501.62:5065071.19,PROPOSED_STOP,P2V2S_0111,1,PROPOSED_STOP,Olgiate Molgora,7.031943,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0112,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:534563.32:5065071.63,PROPOSED_STOP,P2V2S_0112,1,PROPOSED_STOP,Brivio,0.271219,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0113,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531950.53:5065081.31,PROPOSED_STOP,P2V2S_0113,1,PROPOSED_STOP,Olgiate Molgora,16.346697,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0114,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:534786.10:5065099.10,PROPOSED_STOP,P2V2S_0114,1,PROPOSED_STOP,Brivio,7.054082,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0115,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:533660.64:5065110.36,PROPOSED_STOP,P2V2S_0115,1,PROPOSED_STOP,Brivio,2.334325,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0116,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531279.77:5065122.55,PROPOSED_STOP,P2V2S_0116,1,PROPOSED_STOP,Olgiate Molgora,12.833125,gate-d-2026-09-03-834d5caa0bfd
