anchor_id,anchor_class,source_record_id,source_name,lon,lat,routes_serving,epistemic_status,source_detail,proposed_stop_status,seed_precompute,graph_node_id,snap_distance_m,snap_status,included_in_reduced_graph,epoch_id,procom,municipality_name,analysis_role,equity_scope
gate_d:SCARPONE,GATE_D_VALIDATED_ANCHOR,300803;L00803,Olgiate Molgora - monticello scarpone,9.39021,45.731315,D184,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,NOT_PROPOSED,True,n:530369.50:5064267.88,8.874143675,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097058,Olgiate Molgora,CORE,DECISION_CORE
gate_d:SMARIA,GATE_D_VALIDATED_ANCHOR,300782;L00782,S.Maria Hoe',9.3737,45.744308,D184,FACT,OFFICIAL_GTFS_STOP_CLUSTER_CENTROID,NOT_PROPOSED,True,n:529070.45:5065704.08,2.987784495,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097074,Santa Maria Ho̬,CORE,DECISION_CORE
gtfs:ARRIVA_ADDABUS:100005,OFFICIAL_GTFS_BUS_STOP,100005,Brivio - s.s. briantea,9.42271,45.73464,D148,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:532851.78:5064657.22,36.159248926,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097010,Brivio,CORE,DECISION_CORE
gtfs:ARRIVA_ADDABUS:300062,OFFICIAL_GTFS_BUS_STOP,300062,Cisano - bivio brivio,9.4705,45.74085,D185,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:536601.84:5065363.92,1.501636662,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,016074,Cisano Bergamasco,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300063,OFFICIAL_GTFS_BUS_STOP,300063,Brivio - capolinea,9.4457,45.741333,D150;D185,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:534678.16:5065404.73,6.130956667,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097010,Brivio,CORE,DECISION_CORE
gtfs:ARRIVA_ADDABUS:300069,OFFICIAL_GTFS_BUS_STOP,300069,Calolziocorte - sala (chiesa),9.443817,45.785717,D140;VCB,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:534512.84:5070349.29,20.193043183,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097013,Calolziocorte,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300070,OFFICIAL_GTFS_BUS_STOP,300070,Calolziocorte - sala gerola prim,9.441367,45.781967,D140;VCB,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:534312.26:5069917.15,2.281509623,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097013,Calolziocorte,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300080,OFFICIAL_GTFS_BUS_STOP,300080,Olginate - ponte villa,9.422317,45.78525,D150;D151,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:532821.26:5070296.71,23.045906351,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097059,Olginate,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300082,OFFICIAL_GTFS_BUS_STOP,300082,Valgreghentino - s.a.l.,9.4119,45.77206,D150;D151,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:532025.12:5068810.62,5.829712251,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097082,Valgreghentino,CONTEXT,CONTEXT_ONLY
gtfs:ARRIVA_ADDABUS:300083,OFFICIAL_GTFS_BUS_STOP,300083,Airuno - stazione f.s.,9.423417,45.756083,D150,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_STRUCTURAL,ARRIVA_ADDABUS,NOT_PROPOSED,False,n:532932.68:5067036.07,3.234225107,ROUTE_READY_LE_75M,True,gate-d-2026-09-03-834d5caa0bfd,097002,Airuno,CONTEXT,CONTEXT_ONLY
