budget_suffix,budget_change_fraction,budget_cap_annual_bus_km,timing_key,uniform_headway_min,span_id,scenario_id,frontier_policy_context_count,declared_policy_context_count_for_timing,frontier_in_all_declared_calendar_recovery_contexts,frontier_policy_ids,frontier_calendar_ids,frontier_recovery_min_values
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_ab80012ec083c0d9,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_ab834bcc90c450bd,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_ab922de5c6fa2869,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_abd70d1ec5d87624,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_abdc13d62a6b0560,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_abfa1e566bf32964,6,9,false,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_ac0dd5ea81ee850a,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_ac246ca06209eafc,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_ac5feee960d43610,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
p20pct,0.2,133702.8,H60_S8_EXTENDED_0530_2400,60,S8_EXTENDED_0530_2400,P2_ac96fafc22e19158,9,9,true,SP2_1cc2678358acd2|SP2_69b1aac5af9d35|SP2_774ad54a4401b8|SP2_7b7672f6ee7d89|SP2_7e98b67bab3142|SP2_c422f15488b97b|SP2_d458c2793d6807|SP2_edec38aeece860|SP2_f27868b705e5d6,IDEALISED_5_DAY_52_WEEK|IDEALISED_6_DAY_52_WEEK|IDEALISED_DAILY_YEAR,5|10|15
