procom_res,procom_lav,pendolari
097012,108053,22
097013,097010,68
097013,097012,23
097013,097058,22
097013,097074,3
097013,097092,8
097014,097010,4
097014,097012,1
097016,097010,14
097016,097012,12
097016,097058,8
097016,097074,6
097016,097092,12
097017,097010,6
097017,097012,3
097017,097058,5
097017,097074,4
097017,097092,11
097019,097012,10
097019,097058,10
097019,097074,10
097019,097092,32
097020,097010,10
097020,097012,14
097020,097058,15
097020,097074,5
097020,097092,4
097021,097010,1
097021,097074,1
097022,097010,7
097022,097012,2
097022,097058,3
097023,097010,2
097023,097012,1
097023,097058,3
097024,097010,10
097024,097012,14
097024,097058,10
097024,097074,25
097024,097092,25
097026,097010,1
097026,097012,3
097026,097092,8
097028,097010,1
097028,097012,4
097028,097058,4
097028,097074,6
097028,097092,15
097029,097058,1
097029,097092,5
097031,097012,1
097031,097058,5
097031,097074,5
097031,097092,12
097032,097092,2
097033,097012,1
097033,097058,1
097033,097092,1
097034,097010,5
097034,097012,2
097034,097058,2
097035,097010,1
097036,097010,23
097036,097012,4
097036,097058,8
097036,097074,4
097036,097092,15
097037,097010,4
097037,097012,4
097037,097074,7
097037,097092,7
097038,097010,6
097038,097012,5
097038,097058,5
097038,097074,1
097039,097010,18
097039,097012,26
097039,097058,18
097039,097074,5
097039,097092,8
097042,097010,83
097042,097012,25
097042,097058,37
097042,097074,10
097042,097092,19
097043,097058,1
097043,097092,1
097044,097010,4
097044,097012,9
097044,097058,15
097044,097074,4
097044,097092,5
097045,097010,9
097045,097012,2
097045,097058,1
097045,097074,3
097045,097092,2
097046,097010,14
097046,097012,4
097046,097058,6
097046,097074,2
097046,097092,3
097048,097010,54
097048,097012,68
097048,097058,64
097048,097074,12
097048,097092,35
097049,097010,14
097049,097012,16
097049,097058,14
097049,097074,9
097049,097092,15
097051,097010,1
097051,097012,5
097051,097058,4
097051,097074,9
097051,097092,13
097052,097010,16
097052,097012,4
097052,097092,3
097053,097010,1
097053,097012,17
097053,097058,9
097053,097092,4
097054,097012,3
097054,097058,5
097054,097074,5
097054,097092,3
097056,097010,2
097056,097012,5
097056,097058,1
097056,097074,6
097056,097092,5
097057,097010,13
097057,097012,6
097057,097058,9
097057,097074,8
097057,097092,21
097058,012008,1
097058,012016,1
097058,012026,1
097058,012040,1
097058,012046,1
097058,012118,1
097058,012119,1
097058,012133,1
097058,013004,1
097058,013007,2
097058,013009,2
097058,013012,1
097058,013041,2
097058,013075,9
097058,013095,6
097058,013101,3
097058,013107,1
097058,013110,1
097058,013118,1
097058,013121,1
097058,013136,4
097058,013143,3
097058,013170,4
097058,013188,1
097058,013228,1
097058,013251,1
097058,013255,1
097058,014061,1
097058,015009,1
097058,015011,2
097058,015014,1
