stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station
300745,300745,Merate - cassina fra martino,"",45.718080,9.432040,300745,0,
300746,300746,Merate - sartirana (cimitero),"",45.719860,9.423840,300746,0,
300747,300747,Merate - sartirana (chiesa),"",45.714430,9.418050,300746,0,
300748,300748,Merate - sartirana lago,"",45.717000,9.421750,300746,0,
300749,300749,Merate - osservatorio,"",45.705640,9.427580,300291,0,
300750,300750,Merate - pagnano,"",45.708560,9.405210,300870,0,
300751,300751,Merate - via dei lodovichi (scuole),"",45.694130,9.425250,300291,0,
300752,300752,Merate - v.le verdi,"",45.697150,9.408990,300291,0,
300753,300753,Cernusco L. - stazione f.s.,"",45.695980,9.397650,300753,0,
300755,300755,Merate - pagnano centro,"",45.706540,9.405830,300755,0,
300756,300756,Merate - pagnano centro,"",45.706530,9.405860,300755,0,
300757,300757,Merate - garage s.carlo,"",45.694300,9.414750,300291,0,
300758,300758,Merate - s.elena,"",45.690950,9.435840,300758,0,
300759,300759,Merate - brugarolo,"",45.677333,9.410350,300759,0,
300762,300762,Robbiate - terzuolo,"",45.683280,9.440810,300760,0,
300763,300763,Paderno d'adda - stazione f.s.,"",45.678580,9.439570,300763,0,
300764,300764,Robbiate - casa respiro,"",45.698700,9.440500,300760,0,
300765,300765,Verderio superiore,"",45.669030,9.438950,300765,0,
300767,300767,Verderio inferiore,"",45.665450,9.436950,300767,0,
300768,300768,Bernareggio - francolino,"",45.662730,9.417900,300770,0,
300770,300770,Bernareggio - farmacia,"",45.647540,9.405940,300770,0,
300771,300771,Ronco Briantino - via IV novembre (posta,"",45.666650,9.404020,300771,0,
300772,300772,Ronco Briantino - farmacia,"",45.667300,9.398017,300771,0,
300773,300773,Carnate - stazione f.s.,"",45.647480,9.378510,300773,0,
300776,300776,"Vimercate - via diaz, 6 (rugginello)","",45.624130,9.385150,300776,0,
300777,300777,Vimercate,"",45.611540,9.379620,300777,0,
300778,300778,Vimercate - piazzale marconi,"",45.610300,9.371540,300778,0,
300779,300779,Vimercate - via ronchi (scuola ipsia),"",45.614240,9.365320,300779,0,
300780,300780,Vimercate - autostazione,"",45.610400,9.370360,300780,0,
300782,300782,S.Maria Hoe',"",45.744283,9.373817,300207,0,
300794,300794,Costamasnaga (via risorgimento),"",45.768360,9.257970,300796,0,
300795,300795,Costamasnaga - via volta (sottopasso),"",45.760700,9.280383,300796,0,
300796,300796,Costamasnaga - via diaz (scuole),"",45.765317,9.278450,300796,0,
300798,300798,Costamasnaga - bivio stazione f.s.,"",45.764240,9.286330,300796,0,
300803,300803,Olgiate Molgora - monticello scarpone,"",45.731330,9.390270,300407,0,
300804,300804,Rovagnate - la pesa,"",45.737250,9.374517,300879,0,
300805,300805,S.Maria Hoe' - tremonte,"",45.742800,9.378370,300207,0,
