route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
D170,000SFER62026010120260608000002,A2013327-0043-50352,Merate - via dei lodovichi (scuole),0043,1,,+++D70+1102
D170,00VIFER62026010120260608000002,A2013327-0134-50353,Merate - brugarolo,0134,0,,+++D70++971
D170,000SFER62026010120260608000002,A2013327-0134-50354,Merate - brugarolo,0134,0,,+++D70++351
D170,00VSFER62026010120260608000002,A2013327-0141-50355,Cernusco L. - stazione f.s.,0141,1,,+++D70++092
D170,000SFER62026010120260608000002,A2013327-0141-50356,Cernusco L. - stazione f.s.,0141,1,,+++D70++092
D151,000AFER62026010120260608000002,A2013327-0007-50358,Lecco - meridiane,0007,1,,+++LCO+++42
D151,000AF-2.2026010120260608000002,A2013327-0022-50370,Valgreghentino - s.a.l.,0022,0,,+++LCO++391
D151,000AFMAR2026010120260608000002,A2013327-0024-50371,Valgreghentino - s.a.l.,0024,0,,+++LCO++391
D151,000SFER62026010120260608000002,A2013327-0019-50403,Lecco - meridiane,0019,1,,+++LCO++152
D160,000SFER62026010120260608000002,A2013327-0195-50426,Oggiono - stazione f.s.,0195,1,,+++D60++452
D160,000SFER62026010120260608000002,A2013327-0020-50438,Casatenovo - bivio villa greppi,0020,0,,+++D60++561
D160,000SFER52026010120260608000002,A2013327-0186-50439,Carate brianza- v.le lombardia,0186,0,,+++D60++751
D135,00VIFER62026010120260608000002,A2013327-0175-50444,Barzio - bar garden,0175,1,,+++D35++412
D121,00VIFER62026010120260608000002,A2013327-0082-50454,Esino lario - piazza italia,0082,0,,+++D21++011
D121,00VSFER62026010120260608000002,A2013327-0084-50455,Esino lario - piazza italia,0084,0,,+++D21++011
D121,00VIFER62026010120260608000002,A2013327-0105-50456,Bellano - stazione f.s.,0105,1,,+++D21++012
D121,00VIFER62026010120260608000002,A2013327-0107-50457,Bellano - stazione f.s.,0107,1,,+++D21++012
D180,00VSFER62026010120260608000002,A2013327-0111-50464,Barzano' - Via IV Novembre/Largo Diaz,0111,1,,+++D80++312
D185,VS-4FER62026010120260608000002,A2013327-0007-50467,Caprino - piazza marconi,0007,1,,+++E03++012
D185,VS-4FER62026010120260608000002,A2013327-0013-50469,Caprino - piazza marconi,0013,1,,+++E03++012
D185,VS-4FER62026010120260608000002,A2013327-0006-50470,Olgiate Molgora - stazione f.s.,0006,0,,+++E03++011
D185,VS-4FER62026010120260608000002,A2013327-0033-50471,Caprino - piazza marconi,0033,1,,+++E03++012
D185,00VIFER52026010120260608000002,A2013327-0062-50487,Olgiate Molgora - stazione f.s.,0062,0,,+++E03++011
D185,00VIFER52026010120260608000002,A2013327-0065-50488,Caprino - piazza marconi,0065,1,,+++E03++012
D170,000AFER52026010120260608000002,A2013327-0254-50489,Carnate - stazione f.s.,0254,0,,+++D70++011
D170,000AFER52026010120260608000002,A2013327-0227-50490,Paderno d'adda - stazione f.s.,0227,1,,+++D70++012
D184,000SFER62026010120260608000002,A2013327-0002-50491,Ravellino,0002,0,,+++D84+++31
D184,000SFER62026010120260608000002,A2013327-0003-50493,Olgiate Molgora (stazione f.s.),0003,1,,+++D84+++42
D184,000SFER62026010120260608000002,A2013327-0005-50495,Olgiate Molgora - stazione f.s.,0005,1,,+++D84++012
D184,000SFER62026010120260608000002,A2013327-0010-50497,Ravellino - via san rocco,0010,0,,+++D84++011
D184,000SFER62026010120260608000002,A2013327-0009-50499,Olgiate Molgora - stazione f.s.,0009,1,,+++D84++012
D160,00VIFER52026010120260608000002,A2013327-0012-50501,Barzano' - Via IV Novembre/Largo Diaz,0012,0,,+++D60++031
D160,00VIFER52026010120260608000002,A2013327-0009-50502,Oggiono - stazione f.s.,0009,1,,+++D60++782
D170,000SFER62026010120260608000002,A2013327-0119-50512,Calco - arlate (cimitero),0119,1,,+++D70+1012
D170,00VIFER52026010120260608000002,A2013327-0119-50513,Calco - arlate (cimitero),0119,1,,+++D70+1012
D170,000SFER62026010120260608000002,A2013327-0152-50514,Merate - via de gasperi (scuole),0152,0,,+++D70++081
D170,00VIFER52026010120260608000002,A2013327-0152-50515,Merate - via de gasperi (scuole),0152,0,,+++D70++081
D170,000SFER62026010120260608000002,A2013327-0137-50516,Calco - arlate (cimitero),0137,1,,+++D70++422
D170,00VIFER52026010120260608000002,A2013327-0137-50517,Calco - arlate (cimitero),0137,1,,+++D70++422
D170,000SFER62026010120260608000002,A2013327-0160-50518,Merate - via dei lodovichi (scuole),0160,0,,+++D70++541
D170,00VIFER52026010120260608000002,A2013327-0160-50519,Merate - via dei lodovichi (scuole),0160,0,,+++D70++541
D160,000SFER62026010120260608000002,A2013327-0114-50524,Casatenovo - comune,0114,0,,+++D60++011
D180,00VIFER52026010120260608000002,A2013327-0265-50525,Casatenovo - via giovenzana,0265,1,,+++D80++612
D180,000SFER62026010120260608000002,A2013327-0259-50528,Oggiono - stazione f.s.,0259,1,,+++D80++482
D180,00VSFER62026010120260608000002,A2013327-0259-50529,Oggiono - stazione f.s.,0259,1,,+++D80++482
D170,00VSFER62026010120260608000002,A2013327-0182-50544,Merate - via dei lodovichi (scuole),0182,0,,+++D70++541
D180,000SFER62026010120260608000002,A2013327-0060-50577,Arcore - stazione f.s.,0060,0,,+++D80+++41
D180,000SFER62026010120260608000002,A2013327-0057-50579,Oggiono - stazione f.s.,0057,1,,+++D80++412
D180,000SFER62026010120260608000002,A2013327-0104-50581,Monza - corso milano (stazione f.s),0104,0,,+++D80+++11
D180,000SFER52026010120260608000002,A2013327-0126-50583,Arcore - stazione f.s.,0126,0,,+++D80+++41
D180,000SFER52026010120260608000002,A2013327-0107-50585,Barzano' - Via IV Novembre/Largo Diaz,0107,1,,+++D80++042
D180,000SFER52026010120260608000002,A2013327-0154-50587,Arcore - stazione f.s.,0154,0,,+++D80+++41
D180,000SFER52026010120260608000002,A2013327-0109-50589,Barzano' - Via IV Novembre/Largo Diaz,0109,1,,+++D80++042
D180,000SFER52026010120260608000002,A2013327-0170-50591,Arcore - stazione f.s.,0170,0,,+++D80+++41
D180,000SFER52026010120260608000002,A2013327-0125-50593,Barzano' - Via IV Novembre/Largo Diaz,0125,1,,+++D80++042
D184,000SFER62026010120260608000002,A2013327-0008-50595,Ravellino - via san rocco,0008,0,,+++D84++011
D184,000SFER62026010120260608000002,A2013327-0011-50597,Olgiate Molgora - stazione f.s.,0011,1,,+++D84++012
D122,000SFER52026010120260608000002,A2013327-0005-50610,Olgiasca,0005,1,,COLICO+++72
D122,000SFER52026010120260608000002,A2013327-0014-50615,Olgiasca,0014,0,,COLICO+++11
D122,000SFER52026010120260608000002,A2013327-0018-50616,Olgiasca,0018,0,,COLICO+++11
