scenario_id,topology_family,seed_name,public_route_count,optional_extension_count,public_explicit_anchor_count,extension_explicit_anchor_count,public_intercepted_anchor_count,extension_intercepted_anchor_count,public_intercepted_existing_stop_count,public_intercepted_proposed_stop_count,extension_intercepted_existing_stop_count,extension_intercepted_proposed_stop_count,public_leg_count,public_distance_km,public_runtime_min,public_resolved_leg_count,public_quantified_leg_count,public_unknown_leg_count,public_resolved_distance_km,public_quantified_distance_km,public_unknown_distance_km,extension_leg_count,extension_distance_km,extension_runtime_min,extension_resolved_leg_count,extension_quantified_leg_count,extension_unknown_leg_count,extension_resolved_distance_km,extension_quantified_distance_km,extension_unknown_distance_km
P2_3148f4a91588d5d8,two_radial_out_and_back_feeders,,2,0,3,0,8,0,4,3,0,0,4,12.607236653,25.661464921,0,4,0,0.0,12.607236653,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_315aa4ae41e85d51,two_radial_out_and_back_feeders,,2,0,3,0,12,0,4,7,0,0,4,21.179948677,42.619072225000004,0,4,0,0.0,21.179948677,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_315c942c1d0decaf,two_radial_out_and_back_feeders,,2,0,3,0,7,0,2,4,0,0,4,13.344885669,29.794693375999998,0,4,0,0.0,13.344885669,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_315ea7bcb0f8c61e,two_radial_out_and_back_feeders,,2,0,3,0,5,0,3,1,0,0,4,10.850910837,22.179686610999997,0,4,0,0.0,10.850910837,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_3166b6cd91fd3a0e,two_radial_out_and_back_feeders,,2,0,3,0,4,0,1,2,0,0,4,19.624048084000002,43.687500070999995,0,4,0,0.0,19.624048084000002,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_31688e3924409177,two_radial_out_and_back_feeders,,2,0,3,0,12,0,6,5,0,0,4,28.156740869,47.710828279,0,4,0,0.0,28.156740869,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_316bfd02b8b1d092,two_radial_out_and_back_feeders,,2,0,3,0,11,0,6,4,0,0,4,17.16546244,30.860332584000002,0,4,0,0.0,17.16546244,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_3187d7fe85bbc9ee,two_radial_out_and_back_feeders,,2,0,3,0,17,0,11,5,0,0,4,18.784141624999997,33.316993829,0,4,0,0.0,18.784141624999997,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_318ae8b926e5f889,two_radial_out_and_back_feeders,,2,0,3,0,7,0,2,4,0,0,4,13.557766998,28.607271009,0,4,0,0.0,13.557766998,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_318cd8ec2dccb2c3,two_radial_out_and_back_feeders,,2,0,3,0,8,0,3,4,0,0,4,10.418863051999999,20.509394272,0,4,0,0.0,10.418863051999999,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_318e01afa61f474c,two_radial_out_and_back_feeders,,2,0,3,0,12,0,7,4,0,0,4,12.826410547999998,25.426598651,0,4,0,0.0,12.826410547999998,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_3190372f929c4945,two_radial_out_and_back_feeders,,2,0,3,0,6,0,1,4,0,0,4,13.86203306,26.922894631,0,4,0,0.0,13.86203306,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_3193ec80e21dfd4b,two_radial_out_and_back_feeders,,2,0,3,0,11,0,6,4,0,0,4,14.741822039,27.38301202,0,4,0,0.0,14.741822039,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_319886709a4eaa1c,two_radial_out_and_back_feeders,,2,0,3,0,8,0,3,4,0,0,4,18.319604833,39.34867439200001,0,3,1,0.0,16.087017693,2.23258714,0,0.0,0.0,0,0,0,0.0,0.0,0.0
