physical_cluster_id,threshold_min,population_reachable_building_model,population_total_posas_2025,population_located_building_pieces,population_residual_unlocated,population_unit_count,gtfs_records_used_as_sources,epistemic_status
EX_020,8,1008.7028013507875,22914.0,22820.839937434386,93.16006256561045,161,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_020,10,1275.7476292284357,22914.0,22820.839937434386,93.16006256561045,209,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_020,12,1383.9087814765448,22914.0,22820.839937434386,93.16006256561045,220,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_021,5,2.513061027024295,22914.0,22820.839937434386,93.16006256561045,1,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_021,8,16.52974166853596,22914.0,22820.839937434386,93.16006256561045,6,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_021,10,170.61919392782872,22914.0,22820.839937434386,93.16006256561045,41,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_021,12,272.98155990131175,22914.0,22820.839937434386,93.16006256561045,62,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_022,5,653.9092428109732,22914.0,22820.839937434386,93.16006256561045,140,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_022,8,1229.8659684916554,22914.0,22820.839937434386,93.16006256561045,261,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_022,10,1522.8024448647143,22914.0,22820.839937434386,93.16006256561045,343,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_022,12,1787.8651540445135,22914.0,22820.839937434386,93.16006256561045,402,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_023,5,185.0007219678451,22914.0,22820.839937434386,93.16006256561045,58,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_023,8,370.3557783988207,22914.0,22820.839937434386,93.16006256561045,109,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_023,10,569.0988883205937,22914.0,22820.839937434386,93.16006256561045,167,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_023,12,905.2522020024904,22914.0,22820.839937434386,93.16006256561045,242,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_024,5,462.5541436624321,22914.0,22820.839937434386,93.16006256561045,60,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_024,8,1067.5971050477801,22914.0,22820.839937434386,93.16006256561045,137,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_024,10,1799.4163900850451,22914.0,22820.839937434386,93.16006256561045,240,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_024,12,2377.9547388992337,22914.0,22820.839937434386,93.16006256561045,338,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_025,5,695.4573860032181,22914.0,22820.839937434386,93.16006256561045,161,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_025,8,1154.2781426397114,22914.0,22820.839937434386,93.16006256561045,245,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_025,10,1424.4800072834869,22914.0,22820.839937434386,93.16006256561045,315,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_025,12,1586.9947771872946,22914.0,22820.839937434386,93.16006256561045,348,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
