population_unit_id,building_id,section_id,lat,lon,x_utm32,y_utm32,PRO_COM_T,COMUNE,building_piece_population_model,walk_min_to_nearest_existing_stop_v2,covered_5min,covered_8min,covered_10min,covered_12min,gap_5min,gap_8min,gap_10min,gap_12min,epistemic_status
20230101_000000::RLB-748cc14d-873c-4ce0-a193-d04990f2f1a6::SEC=970100000002,20230101_000000::RLB-748cc14d-873c-4ce0-a193-d04990f2f1a6,970100000002,45.741979023778185,9.446914085235118,534766.0829919303,5065477.353215602,097010,Brivio,6.899713910973539,1.5690701931059103,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-7780b83d-a861-4c88-8e89-986f6bb5f0b6::SEC=970100000002,20230101_000000::RLB-7780b83d-a861-4c88-8e89-986f6bb5f0b6,970100000002,45.742151023492525,9.447901590064097,534842.7953676404,5065496.892315604,097010,Brivio,4.265359735946965,2.798630037155458,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-7e652afb-d01f-4366-b91b-eb66e1fd86f8::SEC=970100000002,20230101_000000::RLB-7e652afb-d01f-4366-b91b-eb66e1fd86f8,970100000002,45.74318007149367,9.448259080592834,534869.9643259104,5065611.377115605,097010,Brivio,4.47890477806439,4.026476558920177,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-84eb8159-a3d2-435c-b568-0f8dd07e55ed::SEC=970100000002,20230101_000000::RLB-84eb8159-a3d2-435c-b568-0f8dd07e55ed,970100000002,45.74208335603635,9.4464552664996,534730.3261562616,5065488.745415603,097010,Brivio,2.590337150460066,1.0894730148510205,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-886649bd-c3bc-442d-9863-9510dd88dab2::SEC=970100000002,20230101_000000::RLB-886649bd-c3bc-442d-9863-9510dd88dab2,970100000002,45.74259017032256,9.447526553055988,534813.3478636679,5065545.519015604,097010,Brivio,8.146074245861369,2.186732886039698,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-8e71b92e-3e38-4d90-9744-f6f7f95ae0ca::SEC=970100000002,20230101_000000::RLB-8e71b92e-3e38-4d90-9744-f6f7f95ae0ca,970100000002,45.73981984649428,9.448033511770127,534854.5082237425,5065237.952015601,097010,Brivio,14.503771388636666,4.740465358413591,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-9120608d-f3eb-427f-a301-442cdb150fcd::SEC=970100000002,20230101_000000::RLB-9120608d-f3eb-427f-a301-442cdb150fcd,970100000002,45.743854857431124,9.449674364300083,534979.6374202094,5065686.964915605,097010,Brivio,13.55768131321128,5.730141917631733,False,True,True,True,True,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-92d6968e-cbc2-4aed-b61c-058016f828fa::SEC=970100000002,20230101_000000::RLB-92d6968e-cbc2-4aed-b61c-058016f828fa,970100000002,45.74023546385305,9.446902823909534,534766.2891077304,5065283.635815602,097010,Brivio,11.394241528650277,2.4528980359462675,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-95aa1919-d4d3-4d72-9f68-7c29b2f1dde8::SEC=970100000002,20230101_000000::RLB-95aa1919-d4d3-4d72-9f68-7c29b2f1dde8,970100000002,45.74226777202841,9.448761825111598,534909.6412745262,5065510.238315606,097010,Brivio,3.1532272351199384,3.712460007295161,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-95b59d72-d42b-401c-b0f9-8071acc6eeef::SEC=970100000002,20230101_000000::RLB-95b59d72-d42b-401c-b0f9-8071acc6eeef,970100000002,45.74171141193167,9.44756765095349,534817.0911185092,5065447.905315602,097010,Brivio,61.075075194680366,2.3335830751872724,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-96fe3b44-70e5-4a7f-ac28-3f09e8a5d302::SEC=970100000002,20230101_000000::RLB-96fe3b44-70e5-4a7f-ac28-3f09e8a5d302,970100000002,45.74265924053061,9.446434600312982,534728.3614488705,5065552.718215605,097010,Brivio,3.0544627843546017,1.0636278800976748,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-aa604b0b-e285-4b5e-b72a-84bc683cc85a::SEC=970100000002,20230101_000000::RLB-aa604b0b-e285-4b5e-b72a-84bc683cc85a,970100000002,45.741932229992535,9.447674550129936,534825.2697029687,5065472.485115604,097010,Brivio,2.985943654177581,2.297882639543057,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-ae8c9d91-5546-4d74-864a-60db1d3825de::SEC=970100000002,20230101_000000::RLB-ae8c9d91-5546-4d74-864a-60db1d3825de,970100000002,45.74301734982956,9.448021261335988,534851.565683539,5065593.194815605,097010,Brivio,4.893833287065131,3.166748494202223,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
