anchor_id,anchor_type,name,category,lat,lon,epistemic_status,source,x_utm32,y_utm32,walk_graph_node_id,walk_graph_connector_m,walk_graph_connector_min,walk_graph_snap_ok,current_walk_min,current_gap_10min
OSM_POINT_62512561,SETTLEMENT,Perego,village,45.7373114,9.3597486,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,527987.6901671753,5064924.585291318,3759,23.713248695969277,0.296415608699616,True,10.892467051280791,True
OSM_POINT_534888593,SETTLEMENT,Ospedaletto,locality,45.7183596,9.3686061,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,528686.4844362339,5062822.148848756,5928,10.502528619749471,0.1312816077468684,True,41.98428278028228,True
OSM_POINT_538469464,SETTLEMENT,Fornace Inferiore,hamlet,45.7148347,9.382607,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,529777.965467393,5062435.64187076,10869,48.14877149745063,0.6018596437181329,True,42.51603417879974,True
OSM_POINT_538492425,SETTLEMENT,Bagaggera,hamlet,45.7109486,9.3841585,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,529900.7895849047,5062004.4699510345,11559,19.465603520131946,0.24332004400164933,True,39.611483895301994,True
OSM_POINT_538561433,SETTLEMENT,Beolco,hamlet,45.7185581,9.3940415,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,530665.8654605141,5062853.634229009,14889,28.392441248195745,0.3549055156024468,True,20.850387993210074,True
OSM_POINT_538606783,SETTLEMENT,Cicognola,hamlet,45.7104605,9.407625,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,531727.5686495987,5061959.275662763,18335,90.24988680084093,1.1281235850105116,True,19.85170105038638,True
OSM_POINT_855805785,SETTLEMENT,Fornace Superiore,hamlet,45.7151942,9.3791444,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,529508.2852447863,5062474.300293523,9696,10.641053651749347,0.13301317064686685,True,43.78149440418362,True
OSM_POINT_856848364,SETTLEMENT,Bernaga inferiore,hamlet,45.7331468,9.355394,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,527650.9667756421,5064460.3772867005,2897,11.14556536657693,0.13931956708221163,True,19.952672339503525,True
OSM_POINT_856848408,SETTLEMENT,Campo,hamlet,45.732917,9.3631631,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,528255.5471635697,5064437.560434854,4576,24.350927983706953,0.3043865997963369,True,15.084738037074315,True
OSM_POINT_856848452,SETTLEMENT,Pianello,isolated_dwelling,45.7288716,9.3602339,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,528029.6672211558,5063987.079956403,3904,13.86734319976169,0.17334178999702113,True,22.166103593178146,True
OSM_POINT_1144810020,SETTLEMENT,Porchera,hamlet,45.7388644,9.4122468,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,532071.049869469,5065116.8315020995,19944,16.520053484800894,0.20650066856001117,True,8.407160864025531,False
OSM_POINT_1144810029,SETTLEMENT,Taiello,hamlet,45.7593583,9.4196418,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,532634.4038421307,5067396.733500158,21908,520.6437343724027,6.508046679655034,False,,True
OSM_POINT_1144810072,SETTLEMENT,Olcellera,hamlet,45.7366247,9.4032471,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,531372.165936623,5064864.428696434,17324,15.930543807129066,0.1991317975891133,True,8.136394500835836,False
OSM_POINT_1144810097,SETTLEMENT,Aizurro,hamlet,45.7570462,9.4119267,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,532035.7448072756,5067136.735121488,19901,295.3734453228516,3.6921680665356447,False,,True
OSM_POINT_1144810107,SETTLEMENT,Caglianello,hamlet,45.7438163,9.400202,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,531131.2637138908,5065662.238260608,16520,62.42306230010037,0.7802882787512546,True,20.50366304493991,True
