pair_id,source_routing_terminal_id,target_routing_terminal_id,reverse_pair_id,scope
DIR_PAIR_F0AD74950DF5FF56,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::S_MARIA_HOE_S_P_58_ANG_VIA_CENISIO,DIR_PAIR_B6B4696FE96A99FF,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_816EE8A0D64C6A40,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::VACCAREZZA_CARTELLO_PAESE,DIR_PAIR_137D65AF436FBBBC,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_103C730A68C6AF56,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::100005,DIR_PAIR_E950BDF6316CA9FA,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_34A477E90CDD75F3,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300063,DIR_PAIR_EAEDCD567340EADA,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_95D002D5DB5B2ACB,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300086,DIR_PAIR_F8655B95F9879406,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_3ADAA43A727DF80C,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300398,DIR_PAIR_CDDDDC4967AA144B,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_8EB8C99EC3017F00,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300487,DIR_PAIR_6C1ACBB2648CDEE8,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_0DB0B4310D09DDA2,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300527,DIR_PAIR_D4EFE8211480E128,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_22F84EFE7D46FB65,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300634,DIR_PAIR_0C8406DE6E93D877,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_F6AC1BDA0726ADDD,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300743,DIR_PAIR_5D4FD54341CA13CE,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_F4FA0022FBE11F0A,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300782,DIR_PAIR_B7287526FD512A05,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_EA058FCCEF6C3629,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300805,DIR_PAIR_065FADAB41202FC3,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_35ADD00C59D629D3,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300873,DIR_PAIR_D8D58DF76C18695D,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_91BAD6B5EFB588AB,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300879,DIR_PAIR_1D7B9067B6458A63,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_B3370F9E07760D46,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300956,DIR_PAIR_1269844A4D9E73CB,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_D61B849C917ABA02,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::L00407,DIR_PAIR_4480DC0A959FE345,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_FE1BBCA5483632CB,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::MANUAL::CALCO_SCAGNELLO,DIR_PAIR_B8317AEFBCC982CA,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_7BB804EAAAC1DA0F,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::SPECIAL::CASA_DI_COMUNITA_OLGIATE,DIR_PAIR_BBC237723D31D934,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_1FC24014F3B6C16A,STOP_PROBE::ASF::ARLATE_CANTINA_PIROVANO,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,DIR_PAIR_AF5C2D4F804DA120,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_091E2A7AD336D632,STOP_PROBE::ASF::ARLATE_CANTINA_PIROVANO,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,DIR_PAIR_7ED6258B32A7E908,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_D06657EA04508232,STOP_PROBE::ASF::ARLATE_CANTINA_PIROVANO,STOP_PROBE::ASF::BEVERATE_CARTELLO_PAESE,DIR_PAIR_E580979794235AB0,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_B5768F3C0EC7C31D,STOP_PROBE::ASF::ARLATE_CANTINA_PIROVANO,STOP_PROBE::ASF::BRIVIO_BAR_CRISTALLO,DIR_PAIR_3F325EE025F8986D,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_96470ABFD64AF98C,STOP_PROBE::ASF::ARLATE_CANTINA_PIROVANO,STOP_PROBE::ASF::BRIVIO_VIA_COMO_PENSILINA,DIR_PAIR_7FC0CA5B1FD1EE25,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_BC65501014B07915,STOP_PROBE::ASF::ARLATE_CANTINA_PIROVANO,STOP_PROBE::ASF::CALCO_LARGO_POMEA,DIR_PAIR_E71C25BD54C821CC,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_9BEC7F1458A0D8B9,STOP_PROBE::ASF::ARLATE_CANTINA_PIROVANO,STOP_PROBE::ASF::CALCO_VIA_GARIBALDI,DIR_PAIR_BD272357ED20BAC2,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_C7FB562A739824D7,STOP_PROBE::ASF::ARLATE_CANTINA_PIROVANO,STOP_PROBE::ASF::IMBERSAGO_LOCALITA_CAZZULINO,DIR_PAIR_ADC7B95F3EE6AF34,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_FA1CD103C60E5C3F,STOP_PROBE::ASF::ARLATE_CANTINA_PIROVANO,STOP_PROBE::ASF::OLGIATE_MOLGORA_SCARPONE,DIR_PAIR_95339D85669542CF,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_BD47D2AF6E614E6E,STOP_PROBE::ASF::ARLATE_CANTINA_PIROVANO,STOP_PROBE::ASF::OLGIATE_MOLGORA_VIA_DELLA_SALUTE,DIR_PAIR_88414311F160791D,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
