service_date,trip_id,trip_short_name,direction,arrival_time,departure_time,arrival_min,departure_min,origin_stop_id,origin_stop_name,terminal_stop_id,terminal_stop_name,station_stop_sequence,trip_stop_count,bus_to_rail_anchor_semantics,rail_to_bus_anchor_semantics,epistemic_status
2026-09-03,124822-2026-08-20-2026-09-14,S8 - 24822,LECCO,08:02:00,08:03:00,482.0,483.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124829-2026-08-20-2026-09-14,S8 - 24829,MILANO,08:25:00,08:26:00,505.0,506.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124824-2026-08-20-2026-09-14,S8 - 24824,LECCO,08:32:00,08:33:00,512.0,513.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124831-2026-08-20-2026-09-14,S8 - 24831,MILANO,08:55:00,08:56:00,535.0,536.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124826-2026-08-20-2026-09-14,S8 - 24826,LECCO,09:02:00,09:03:00,542.0,543.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124833-2026-08-20-2026-09-14,S8 - 24833,MILANO,09:25:00,09:26:00,565.0,566.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124828-2026-08-20-2026-09-14,S8 - 24828,LECCO,09:32:00,09:33:00,572.0,573.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124835-2026-08-20-2026-09-14,S8 - 24835,MILANO,09:55:00,09:56:00,595.0,596.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124830-2026-08-20-2026-09-14,S8 - 24830,LECCO,10:02:00,10:03:00,602.0,603.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124837-2026-08-20-2026-09-14,S8 - 24837,MILANO,10:25:00,10:26:00,625.0,626.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
