route_id,source_page,direction_heading,direction_origin,direction_terminal,stop_sequence_on_page,stop_label_pdf,service_context,source_url,source_pdf_sha256,epistemic_status
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,18,CALOLZIO (Scuole),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,19,OLGINATE (Ponte),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,20,GARLATE (Municipio),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,21,GARLATE (Scuole),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,22,PESCATE (Torrette),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,23,PESCATE (Terzo Ponte),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,24,PESCATE (Insirano),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,25,MALGRATE (Porto),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,26,LECCO FS (Via Sassi),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,27,LECCO (P.zzale Meridiane),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
