procom_lav,destination_name,workers,n_core_origins,rank,category,share_of_core_resident_workers_pct,cumulative_share_pct
016114,Gorlago,1,1,280,OTHER_EXTERNAL,0.011423,99.291752
016115,Gorle,1,1,281,OTHER_EXTERNAL,0.011423,99.303176
015110,Grezzago,1,1,282,OTHER_EXTERNAL,0.011423,99.314599
018076,Gropello Cairoli,1,1,283,OTHER_EXTERNAL,0.011423,99.326022
013228,ISTAT code 013228 (not mapped in 2026 boundaries),1,1,284,OTHER_EXTERNAL,0.011423,99.337446
012083,Induno Olona,1,1,285,OTHER_EXTERNAL,0.011423,99.348869
015113,Inveruno,1,1,286,OTHER_EXTERNAL,0.011423,99.360292
016123,Lallio,1,1,287,OTHER_EXTERNAL,0.011423,99.371716
013126,Lezzeno,1,1,288,OTHER_EXTERNAL,0.011423,99.383139
108027,Limbiate,1,1,289,OTHER_EXTERNAL,0.011423,99.394562
017096,Lumezzane,1,1,290,OTHER_EXTERNAL,0.011423,99.405986
015139,Mediglia,1,1,291,OTHER_EXTERNAL,0.011423,99.417409
015142,Melzo,1,1,292,OTHER_EXTERNAL,0.011423,99.428833
016137,Monasterolo del Castello,1,1,293,OTHER_EXTERNAL,0.011423,99.440256
098040,Montanaso Lombardo,1,1,294,OTHER_EXTERNAL,0.011423,99.451679
017117,Nave,1,1,295,OTHER_EXTERNAL,0.011423,99.463103
016144,Nembro,1,1,296,OTHER_EXTERNAL,0.011423,99.474526
016145,Olmo al Brembo,1,1,297,OTHER_EXTERNAL,0.011423,99.485949
016156,Palazzago,1,1,298,OTHER_EXTERNAL,0.011423,99.497373
017133,Palazzolo sull'Oglio,1,1,299,OTHER_EXTERNAL,0.011423,99.508796
015167,Pantigliate,1,1,300,OTHER_EXTERNAL,0.011423,99.520219
015168,Parabiago,1,1,301,OTHER_EXTERNAL,0.011423,99.531643
033032,Piacenza,1,1,302,OTHER_EXTERNAL,0.011423,99.543066
016167,Pognano,1,1,303,OTHER_EXTERNAL,0.011423,99.554489
016169,Ponteranica,1,1,304,OTHER_EXTERNAL,0.011423,99.565913
015177,Pozzo d'Adda,1,1,305,OTHER_EXTERNAL,0.011423,99.577336
015178,Pozzuolo Martesana,1,1,306,OTHER_EXTERNAL,0.011423,99.588759
016176,Presezzo,1,1,307,OTHER_EXTERNAL,0.011423,99.600183
024083,Quinto Vicentino,1,1,308,OTHER_EXTERNAL,0.011423,99.611606
033038,Rivergaro,1,1,309,OTHER_EXTERNAL,0.011423,99.623029
016183,Romano di Lombardia,1,1,310,OTHER_EXTERNAL,0.011423,99.634453
013202,Rovello Porro,1,1,311,OTHER_EXTERNAL,0.011423,99.645876
029041,Rovigo,1,1,312,OTHER_EXTERNAL,0.011423,99.657300
015201,San Vittore Olona,1,1,313,OTHER_EXTERNAL,0.011423,99.668723
016252,Sant'Omobono Terme,1,1,314,OTHER_EXTERNAL,0.011423,99.680146
018140,Santa Giuletta,1,1,315,OTHER_EXTERNAL,0.011423,99.691570
015206,Senago,1,1,316,OTHER_EXTERNAL,0.011423,99.702993
013212,Senna Comasco,1,1,317,OTHER_EXTERNAL,0.011423,99.714416
015210,Settala,1,1,318,OTHER_EXTERNAL,0.011423,99.725840
108040,Seveso,1,1,319,OTHER_EXTERNAL,0.011423,99.737263
018150,Siziano,1,1,320,OTHER_EXTERNAL,0.011423,99.748686
013255,Solbiate con Cagno,1,1,321,OTHER_EXTERNAL,0.011423,99.760110
016251,Solza,1,1,322,OTHER_EXTERNAL,0.011423,99.771533
012123,Somma Lombardo,1,1,323,OTHER_EXTERNAL,0.011423,99.782956
098055,Sordio,1,1,324,OTHER_EXTERNAL,0.011423,99.794380
016202,Sorisole,1,1,325,OTHER_EXTERNAL,0.011423,99.805803
016206,Spirano,1,1,326,OTHER_EXTERNAL,0.011423,99.817226
016212,Telgate,1,1,327,OTHER_EXTERNAL,0.011423,99.828650
017184,TemÃ¹,1,1,328,OTHER_EXTERNAL,0.011423,99.840073
017186,Torbole Casaglia,1,1,329,OTHER_EXTERNAL,0.011423,99.851496
016214,Torre Boldone,1,1,330,OTHER_EXTERNAL,0.011423,99.862920
006174,Tortona,1,1,331,OTHER_EXTERNAL,0.011423,99.874343
