stop_id,stop_code,stop_name,stop_lat,stop_lon,PRO_COM_T,COMUNE,graph_node_id,snap_distance_m,snap_ok,official_routes_reference_gtfs,official_route_count_reference_gtfs,physical_cluster_id,stop_type,epistemic_status,source
300903,300903,S.Maria Hoe' - tremonte/via leopardi,45.74118,9.38096,097074,Santa Maria Hoè,10400,3.692000685529571,True,D184,1,EX_033,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300908,300908,Calolziocorte - gerola capolinea arrivo,45.77278,9.44363,097010,Brivio,24692,767.9198129286091,False,VCB,1,EX_034,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
300956,300956,"Calco - via nazionale, 85",45.7366,9.41967,097058,Olgiate Molgora,21527,1.5934792667537934,True,D148|D150|D185,3,EX_035,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00063,L00063,Brivio - capolinea,45.74245,9.44585,097010,Brivio,27303,8.96330460162807,True,D148|D150|D185,3,EX_036,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00086,L00086,Brivio - beverate (cariplo),45.740517,9.423083,097010,Brivio,22247,5.1338787442238845,True,D150|D185,2,EX_003,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00087,L00087,Brivio - vaccarezza,45.737017,9.4362,097010,Brivio,25030,4.480442605708537,True,D150|D185,2,EX_004,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00089,L00089,Calco - via statale (edicola),45.723817,9.415133,097012,Calco,20499,4.752598946215913,True,D148|D150,2,EX_005,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00207,L00207,S.Maria Hoe' - paese,45.738233,9.387917,097074,Santa Maria Hoè,12584,12.292509557396418,True,D148,1,EX_037,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00397,L00397,Calco - via virgilio,45.72495,9.414367,097012,Calco,20422,38.8347512689045,True,D185,1,EX_038,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00398,L00398,Brivio - beverate (paese),45.737317,9.42815,097010,Brivio,23595,3.584543116651388,True,D150|D185,2,EX_008,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00405,L00405,Cisano - sosta,45.739967,9.451383,097010,Brivio,27883,223.6726247799581,True,D185,1,EX_009,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00406,L00406,Brivio - via como (pizzeria),45.742267,9.439133,097010,Brivio,25624,31.56231516183086,True,D150|D185,2,EX_010,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00407,L00407,Olgiate Molgora (stazione f.s.),45.72917,9.40441,097058,Olgiate Molgora,17782,3.827386089812374,True,D184|D185,2,EX_039,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00487,L00487,Brivio - beverate (quattro strade),45.734767,9.426933,097010,Brivio,23255,3.165676088399606,True,D150|D185,2,EX_012,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00504,L00504,Monte Marenzo - bisone via industriale,45.766183,9.445683,097010,Brivio,24930,992.6053832952764,False,D140|VCB,2,EX_040,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00527,L00527,Airuno - elettroadda,45.741433,9.4235,097010,Brivio,22388,11.2414851007007,True,D150,1,EX_014,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00528,L00528,Calco- arlate - (provinciale),45.723533,9.444067,097012,Calco,26831,6.420309206322472,True,D150,1,EX_015,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00638,L00638,Olginate - fornasette,45.768533,9.424833,097010,Brivio,22830,56.46005996663041,True,D150,1,EX_017,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
