physical_cluster_id,threshold_min,population_reachable_2025,population_denominator_2025,cell_count,gtfs_records_used_as_sources,epistemic_status
EX_025,12,1561.137620749103,22914.0,170,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_026,5,239.6754493882166,22914.0,32,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_026,8,474.86918272555175,22914.0,57,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_026,10,645.4139316236121,22914.0,86,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_026,12,1006.8920213182977,22914.0,132,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_027,5,676.9899490708088,22914.0,34,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_027,8,1316.12213159339,22914.0,88,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_027,10,1741.4502427926332,22914.0,137,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_027,12,2318.5138255623524,22914.0,202,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_028,5,181.06311965609422,22914.0,13,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_028,8,458.47941415860083,22914.0,27,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_028,10,629.6352684917789,22914.0,35,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_028,12,789.0473838393088,22914.0,45,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_029,5,479.74326344195464,22914.0,22,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
