procom_res,origin_name,procom_lav,destination_name,workers,rank,category,share_of_origin_pct,cumulative_share_pct
097010,Brivio,016203,Sotto il Monte Giovanni XXIII,1,177,OTHER_EXTERNAL,0.060168,99.338147
097010,Brivio,016206,Spirano,1,178,OTHER_EXTERNAL,0.060168,99.398315
097010,Brivio,016214,Torre Boldone,1,179,OTHER_EXTERNAL,0.060168,99.458484
097010,Brivio,108043,Triuggio,1,180,OTHER_EXTERNAL,0.060168,99.518652
097010,Brivio,015224,Truccazzano,1,181,OTHER_EXTERNAL,0.060168,99.578821
097010,Brivio,108047,Veduggio con Colzano,1,182,OTHER_EXTERNAL,0.060168,99.638989
097010,Brivio,015237,Vignate,1,183,OTHER_EXTERNAL,0.060168,99.699158
097010,Brivio,016239,Villa d'AlmÃ¨,1,184,OTHER_EXTERNAL,0.060168,99.759326
097010,Brivio,016240,Villa di Serio,1,185,OTHER_EXTERNAL,0.060168,99.819495
097010,Brivio,015242,Vimodrone,1,186,OTHER_EXTERNAL,0.060168,99.879663
097010,Brivio,018182,Voghera,1,187,OTHER_EXTERNAL,0.060168,99.939832
097010,Brivio,016246,Zogno,1,188,OTHER_EXTERNAL,0.060168,100.000000
097012,Calco,097012,Calco,279,1,SELF,12.839393,12.839393
097012,Calco,097048,Merate,205,2,OTHER_EXTERNAL,9.433962,22.273355
097012,Calco,015146,Milano,170,3,S8_DIRECT,7.823286,30.096641
097012,Calco,097042,Lecco,124,4,S8_DIRECT,5.706397,35.803037
097012,Calco,097058,Olgiate Molgora,120,5,OTHER_CORE,5.522319,41.325357
097012,Calco,097010,Brivio,89,6,OTHER_CORE,4.095720,45.421077
097012,Calco,097061,Osnago,60,7,S8_DIRECT,2.761160,48.182237
097012,Calco,097020,Cernusco Lombardone,53,8,S8_DIRECT,2.439024,50.621261
097012,Calco,108033,Monza,48,9,S8_DIRECT,2.208928,52.830189
097012,Calco,097044,Lomagna,46,10,OTHER_EXTERNAL,2.116889,54.947078
097012,Calco,108050,Vimercate,39,11,OTHER_EXTERNAL,1.794754,56.741832
097012,Calco,016074,Cisano Bergamasco,38,12,OTHER_EXTERNAL,1.748734,58.490566
097012,Calco,097071,Robbiate,37,13,OTHER_EXTERNAL,1.702715,60.193281
097012,Calco,097092,La Valletta Brianza,36,14,OTHER_CORE,1.656696,61.849977
097012,Calco,097013,Calolziocorte,31,15,S8_DIRECT,1.426599,63.276576
097012,Calco,097091,Verderio,30,16,OTHER_EXTERNAL,1.380580,64.657156
097012,Calco,097074,Santa Maria Hoè,24,17,OTHER_CORE,1.104464,65.761620
097012,Calco,108053,Cornate d'Adda,22,18,OTHER_EXTERNAL,1.012425,66.774045
097012,Calco,097059,Olginate,22,19,OTHER_EXTERNAL,1.012425,67.786470
097012,Calco,108001,Agrate Brianza,20,20,OTHER_EXTERNAL,0.920387,68.706857
097012,Calco,097057,Oggiono,20,21,OTHER_EXTERNAL,0.920387,69.627243
097012,Calco,108044,Usmate Velate,19,22,OTHER_EXTERNAL,0.874367,70.501611
097012,Calco,097049,Missaglia,17,23,OTHER_EXTERNAL,0.782329,71.283939
097012,Calco,097038,Garlate,15,24,OTHER_EXTERNAL,0.690290,71.974229
097012,Calco,108038,Ronco Briantino,15,25,OTHER_EXTERNAL,0.690290,72.664519
097012,Calco,097054,Monticello Brianza,14,26,OTHER_EXTERNAL,0.644271,73.308790
097012,Calco,016024,Bergamo,13,27,OTHER_EXTERNAL,0.598251,73.907041
097012,Calco,097039,Imbersago,13,28,OTHER_EXTERNAL,0.598251,74.505292
097012,Calco,097002,Airuno,12,29,S8_DIRECT,0.552232,75.057524
097012,Calco,097019,Castello di Brianza,12,30,OTHER_EXTERNAL,0.552232,75.609756
097012,Calco,097006,BarzanÃ²,11,31,OTHER_EXTERNAL,0.506213,76.115969
097012,Calco,097016,Casatenovo,11,32,OTHER_EXTERNAL,0.506213,76.622181
097012,Calco,097031,Dolzago,11,33,OTHER_EXTERNAL,0.506213,77.128394
097012,Calco,097083,Valmadrera,11,34,OTHER_EXTERNAL,0.506213,77.634607
097012,Calco,108008,Besana in Brianza,10,35,OTHER_EXTERNAL,0.460193,78.094800
097012,Calco,097011,Bulciago,10,36,OTHER_EXTERNAL,0.460193,78.554993
097012,Calco,108028,Lissone,10,37,OTHER_EXTERNAL,0.460193,79.015186
097012,Calco,097005,Barzago,9,38,OTHER_EXTERNAL,0.414174,79.429360
097012,Calco,108006,Bellusco,9,39,OTHER_EXTERNAL,0.414174,79.843534
097012,Calco,108007,Bernareggio,9,40,OTHER_EXTERNAL,0.414174,80.257708
097012,Calco,016046,Calusco d'Adda,9,41,OTHER_EXTERNAL,0.414174,80.671882
097012,Calco,097062,Paderno d'Adda,9,42,OTHER_EXTERNAL,0.414174,81.086056
097012,Calco,097075,Sirone,9,43,OTHER_EXTERNAL,0.414174,81.500230
097012,Calco,108004,Arcore,8,44,S8_DIRECT,0.368155,81.868385
097012,Calco,015011,Assago,8,45,OTHER_EXTERNAL,0.368155,82.236539
097012,Calco,108021,Concorezzo,8,46,OTHER_EXTERNAL,0.368155,82.604694
097012,Calco,097036,Galbiate,8,47,OTHER_EXTERNAL,0.368155,82.972849
097012,Calco,097009,Bosisio Parini,7,48,OTHER_EXTERNAL,0.322135,83.294984
097012,Calco,108012,Brugherio,7,49,OTHER_EXTERNAL,0.322135,83.617119
097012,Calco,108013,Burago di Molgora,7,50,OTHER_EXTERNAL,0.322135,83.939254
097012,Calco,015070,Cernusco sul Naviglio,7,51,OTHER_EXTERNAL,0.322135,84.261390
097012,Calco,097022,Civate,7,52,OTHER_EXTERNAL,0.322135,84.583525
097012,Calco,013075,Como,7,53,OTHER_EXTERNAL,0.322135,84.905660
097012,Calco,097026,Costa Masnaga,7,54,OTHER_EXTERNAL,0.322135,85.227796
097012,Calco,097053,Montevecchia,7,55,OTHER_EXTERNAL,0.322135,85.549931
097012,Calco,097068,Pescate,7,56,OTHER_EXTERNAL,0.322135,85.872066
097012,Calco,015209,Sesto San Giovanni,7,57,S8_DIRECT,0.322135,86.194202
097012,Calco,097076,Sirtori,7,58,OTHER_EXTERNAL,0.322135,86.516337
097012,Calco,097082,Valgreghentino,7,59,OTHER_EXTERNAL,0.322135,86.838472
097012,Calco,108047,Veduggio con Colzano,7,60,OTHER_EXTERNAL,0.322135,87.160607
097012,Calco,016034,Bottanuco,6,61,OTHER_EXTERNAL,0.276116,87.436723
097012,Calco,108015,Carate Brianza,6,62,OTHER_EXTERNAL,0.276116,87.712839
097012,Calco,015051,Carugate,6,63,OTHER_EXTERNAL,0.276116,87.988955
097012,Calco,097037,Garbagnate Monastero,6,64,OTHER_EXTERNAL,0.276116,88.265071
097012,Calco,108036,Ornago,6,65,OTHER_EXTERNAL,0.276116,88.541187
097012,Calco,015205,Segrate,6,66,OTHER_EXTERNAL,0.276116,88.817303
097012,Calco,015221,Trezzo sull'Adda,6,67,OTHER_EXTERNAL,0.276116,89.093419
097012,Calco,016038,Brembate di Sopra,5,68,OTHER_EXTERNAL,0.230097,89.323516
097012,Calco,108016,Carnate,5,69,S8_DIRECT,0.230097,89.553613
097012,Calco,097017,Cassago Brianza,5,70,OTHER_EXTERNAL,0.230097,89.783709
097012,Calco,097024,Colle Brianza,5,71,OTHER_EXTERNAL,0.230097,90.013806
097012,Calco,097028,Cremella,5,72,OTHER_EXTERNAL,0.230097,90.243902
097012,Calco,015189,Rozzano,5,73,OTHER_EXTERNAL,0.230097,90.473999
097012,Calco,108039,Seregno,5,74,OTHER_EXTERNAL,0.230097,90.704096
097012,Calco,016213,Terno d'Isola,5,75,OTHER_EXTERNAL,0.230097,90.934192
097012,Calco,016006,Almenno San Bartolomeo,4,76,OTHER_EXTERNAL,0.184077,91.118270
097012,Calco,097003,Annone di Brianza,4,77,OTHER_EXTERNAL,0.184077,91.302347
097012,Calco,016057,Carvico,4,78,OTHER_EXTERNAL,0.184077,91.486424
097012,Calco,108023,Desio,4,79,OTHER_EXTERNAL,0.184077,91.670502
097012,Calco,097051,Molteno,4,80,OTHER_EXTERNAL,0.184077,91.854579
097012,Calco,097052,Monte Marenzo,4,81,OTHER_EXTERNAL,0.184077,92.038656
097012,Calco,016209,Suisio,4,82,OTHER_EXTERNAL,0.184077,92.222734
097012,Calco,108043,Triuggio,4,83,OTHER_EXTERNAL,0.184077,92.406811
097012,Calco,013041,CantÃ¹,3,84,OTHER_EXTERNAL,0.138058,92.544869
097012,Calco,016052,Caprino Bergamasco,3,85,OTHER_EXTERNAL,0.138058,92.682927
097012,Calco,015060,Cassina de' Pecchi,3,86,OTHER_EXTERNAL,0.138058,92.820985
097012,Calco,015077,Cinisello Balsamo,3,87,OTHER_EXTERNAL,0.138058,92.959043
097012,Calco,015081,Cologno Monzese,3,88,OTHER_EXTERNAL,0.138058,93.097101
097012,Calco,013095,Erba,3,89,OTHER_EXTERNAL,0.138058,93.235159
097012,Calco,015106,Gessate,3,90,OTHER_EXTERNAL,0.138058,93.373217
