source_anchor_id,source_kind,source_record_id,source_name,municipality,lon,lat,graph_node_id,snap_distance_m,snap_status,evidence_status,physical_status,candidate_status,highway,road_uncertainty_flags,route_ready,epoch_id,routing_anchor_id,collapse_reason
existing:EX_037,EXISTING_PHYSICAL_STOP_CLUSTER,L00207,S.Maria Hoe' - paese,Santa Maria Hoè,9.387917000,45.738233000,n:530166.34:5065037.27,12.295759408,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_037,UNIQUE_GRAPH_NODE
existing:EX_038,EXISTING_PHYSICAL_STOP_CLUSTER,L00397,Calco - via virgilio,Calco,9.414367000,45.724950000,n:532282.82:5063572.95,38.839478615,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_007,COLLAPSED_SAME_FROZEN_GRAPH_NODE
existing:EX_039,EXISTING_PHYSICAL_STOP_CLUSTER,L00407,Olgiate Molgora (stazione f.s.),Olgiate Molgora,9.404410000,45.729170000,n:531469.30:5064033.74,3.825434085,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_039,UNIQUE_GRAPH_NODE
existing:EX_040,EXISTING_PHYSICAL_STOP_CLUSTER,L00504,Monte Marenzo - bisone via industriale,Brivio,9.445683000,45.766183000,n:534661.16:5068133.30,33.145092116,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_040,UNIQUE_GRAPH_NODE
existing:EX_041,EXISTING_PHYSICAL_STOP_CLUSTER,L00871,S.Maria Hoe' - alduno,Santa Maria Hoè,9.382517000,45.734700000,n:529766.29:5064648.93,8.586912389,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_041,UNIQUE_GRAPH_NODE
existing:EX_042,EXISTING_PHYSICAL_STOP_CLUSTER,L00878,Rovagnate - semaforo,La Valletta Brianza,9.370467000,45.737133000,n:528782.93:5064911.12,38.804681357,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_042,UNIQUE_GRAPH_NODE
existing:EX_043,EXISTING_PHYSICAL_STOP_CLUSTER,L00956,Calco - via nazionale (peugeot),Olgiate Molgora,9.419310000,45.736100000,n:532637.53:5064842.40,33.574017632,ROUTE_READY_LE_75M,FACT,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_043,UNIQUE_GRAPH_NODE
rail:S01514,HUB_RAIL,S01514,Olgiate-Calco-Brivio,Olgiate Molgora,9.403662947,45.729187766,n:531394.95:5064038.66,13.740745065,ROUTE_READY_LE_75M,FACT,OFFICIAL_RAIL_STATION,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,rail:S01514,UNIQUE_GRAPH_NODE
P2S_0001,PROPOSED_STOP,P2S_0001,P2S_0001,Olgiate Molgora,9.394058570,45.704783368,n:530675.54:5061329.08,5.884207487,ROUTE_READY_LE_75M,PROPOSED_STOP/FIELD_CHECK_PENDING,FIELD_CHECK_PENDING,HYPOTHESIS_NOT_RECOMMENDATION,residential,missing_lanes|missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,true,gate-d-2026-09-03-834d5caa0bfd,P2S_0001,UNIQUE_GRAPH_NODE
P2S_0002,PROPOSED_STOP,P2S_0002,P2S_0002,Olgiate Molgora,9.394746492,45.707278748,n:530741.10:5061601.85,14.230880314,ROUTE_READY_LE_75M,PROPOSED_STOP/FIELD_CHECK_PENDING,FIELD_CHECK_PENDING,HYPOTHESIS_NOT_RECOMMENDATION,service,missing_lanes|missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,true,gate-d-2026-09-03-834d5caa0bfd,P2S_0002,UNIQUE_GRAPH_NODE
P2S_0003,PROPOSED_STOP,P2S_0003,P2S_0003,Olgiate Molgora,9.389006250,45.708158550,n:530266.47:5061705.36,15.959129967,ROUTE_READY_LE_75M,PROPOSED_STOP/FIELD_CHECK_PENDING,FIELD_CHECK_PENDING,HYPOTHESIS_NOT_RECOMMENDATION,service,missing_lanes|missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,true,gate-d-2026-09-03-834d5caa0bfd,P2S_0003,UNIQUE_GRAPH_NODE
P2S_0004,PROPOSED_STOP,P2S_0004,P2S_0004,Olgiate Molgora,9.392429518,45.709804062,n:530535.73:5061883.50,9.938328996,ROUTE_READY_LE_75M,PROPOSED_STOP/FIELD_CHECK_PENDING,FIELD_CHECK_PENDING,HYPOTHESIS_NOT_RECOMMENDATION,unclassified,missing_lanes|missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,true,gate-d-2026-09-03-834d5caa0bfd,P2S_0004,UNIQUE_GRAPH_NODE
P2S_0005,PROPOSED_STOP,P2S_0005,P2S_0005,La Valletta Brianza,9.385915585,45.710267862,n:530041.95:5061933.41,5.619983791,ROUTE_READY_LE_75M,PROPOSED_STOP/FIELD_CHECK_PENDING,FIELD_CHECK_PENDING,HYPOTHESIS_NOT_RECOMMENDATION,unclassified,missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,true,gate-d-2026-09-03-834d5caa0bfd,P2S_0005,UNIQUE_GRAPH_NODE
P2S_0006,PROPOSED_STOP,P2S_0006,P2S_0006,Olgiate Molgora,9.396418991,45.710408450,n:530853.90:5061948.22,1.724391994,ROUTE_READY_LE_75M,PROPOSED_STOP/FIELD_CHECK_PENDING,FIELD_CHECK_PENDING,HYPOTHESIS_NOT_RECOMMENDATION,unclassified,missing_lanes|missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,true,gate-d-2026-09-03-834d5caa0bfd,P2S_0006,UNIQUE_GRAPH_NODE
P2S_0007,PROPOSED_STOP,P2S_0007,P2S_0007,La Valletta Brianza,9.382892360,45.711321024,n:529774.78:5062063.32,32.638550592,ROUTE_READY_LE_75M,PROPOSED_STOP/FIELD_CHECK_PENDING,FIELD_CHECK_PENDING,HYPOTHESIS_NOT_RECOMMENDATION,unclassified,missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,true,gate-d-2026-09-03-834d5caa0bfd,P2S_0007,UNIQUE_GRAPH_NODE
P2S_0008,PROPOSED_STOP,P2S_0008,P2S_0008,Olgiate Molgora,9.396193185,45.713031075,n:530830.52:5062227.14,14.489655805,ROUTE_READY_LE_75M,PROPOSED_STOP/FIELD_CHECK_PENDING,FIELD_CHECK_PENDING,HYPOTHESIS_NOT_RECOMMENDATION,residential,missing_lanes|missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,true,gate-d-2026-09-03-834d5caa0bfd,P2S_0008,UNIQUE_GRAPH_NODE
P2S_0009,PROPOSED_STOP,P2S_0009,P2S_0009,Olgiate Molgora,9.392608766,45.713343828,n:530557.16:5062272.83,0.945285054,ROUTE_READY_LE_75M,PROPOSED_STOP/FIELD_CHECK_PENDING,FIELD_CHECK_PENDING,HYPOTHESIS_NOT_RECOMMENDATION,residential,missing_lanes|missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,true,gate-d-2026-09-03-834d5caa0bfd,P2S_0009,UNIQUE_GRAPH_NODE
P2S_0010,PROPOSED_STOP,P2S_0010,P2S_0010,La Valletta Brianza,9.380855522,45.713410689,n:529640.67:5062283.22,6.666712459,ROUTE_READY_LE_75M,PROPOSED_STOP/FIELD_CHECK_PENDING,FIELD_CHECK_PENDING,HYPOTHESIS_NOT_RECOMMENDATION,unclassified,missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,true,gate-d-2026-09-03-834d5caa0bfd,P2S_0010,UNIQUE_GRAPH_NODE
P2S_0011,PROPOSED_STOP,P2S_0011,P2S_0011,La Valletta Brianza,9.377382744,45.714761405,n:529373.94:5062424.41,2.787282013,ROUTE_READY_LE_75M,PROPOSED_STOP/FIELD_CHECK_PENDING,FIELD_CHECK_PENDING,HYPOTHESIS_NOT_RECOMMENDATION,unclassified,missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,true,gate-d-2026-09-03-834d5caa0bfd,P2S_0011,UNIQUE_GRAPH_NODE
P2S_0012,PROPOSED_STOP,P2S_0012,P2S_0012,Olgiate Molgora,9.399618161,45.714742930,n:531107.57:5062432.70,5.645186241,ROUTE_READY_LE_75M,PROPOSED_STOP/FIELD_CHECK_PENDING,FIELD_CHECK_PENDING,HYPOTHESIS_NOT_RECOMMENDATION,service,missing_lanes|missing_maxheight|missing_maxweight|missing_maxwidth|missing_width,true,gate-d-2026-09-03-834d5caa0bfd,P2S_0012,UNIQUE_GRAPH_NODE
