stop_foundation_id,source_stop_id,physical_cluster_id,stop_class,human_label,municipality,lat,lon,road_name_or_context,evidence_status,road_eligibility_status,field_check_status,current_d184_d185_physical_stop,current_routes,human_identity_ready,finalist_stop_ready,readiness_reason,nearest_official_stop_walk_network_m,population_reachable_10min,population_additional_10min,settlement_context,destination_context,source_lineage
existing:EX_016,300634,EX_016,EXISTING_OFFICIAL,Calco - via Nazionale,Calco,45.7296,9.417783,Calco - via Nazionale,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,true,D185,true,true,CURRENT_D184_D185_OFFICIAL_PHYSICAL_STOP_REUSE_READY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_019,300729,EX_019,EXISTING_OFFICIAL,Calco - via virgilio (pensilina asf),Calco,45.725017,9.40995,Calco - via virgilio (pensilina asf),FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,true,D185,true,true,CURRENT_D184_D185_OFFICIAL_PHYSICAL_STOP_REUSE_READY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_020,300743,EX_020,EXISTING_OFFICIAL,Calco - arlate (cimitero),Calco,45.72377,9.44097,Calco - arlate (cimitero),FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,false,,true,false,REFERENCE_PERIOD_OFFICIAL_STOP_EVALUATION_ONLY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_021,300746,EX_021,EXISTING_OFFICIAL,Merate - sartirana (cimitero),Calco,45.71986,9.42384,Merate - sartirana (cimitero),FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,false,,true,false,REFERENCE_PERIOD_OFFICIAL_STOP_EVALUATION_ONLY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_031,300886,EX_031,EXISTING_OFFICIAL,Imbersago - arlate (fiorista),Calco,45.718483,9.4446,Imbersago - arlate (fiorista),FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,false,,true,false,REFERENCE_PERIOD_OFFICIAL_STOP_EVALUATION_ONLY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_038,L00397,EX_038,EXISTING_OFFICIAL,Calco - via virgilio,Calco,45.72495,9.414367,Calco - via virgilio,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,true,D185,true,true,CURRENT_D184_D185_OFFICIAL_PHYSICAL_STOP_REUSE_READY,0,,,,,stop_universe_v2/existing_official_stops.csv
proposed:P2V2S_0015,P2V2S_0015,,PROPOSED_HYPOTHESIS,Cicognola / Scagnello / Esselunga,Calco,45.7160209796197,9.407873366328337,primary,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,true,false,FIELD_CHECK_REQUIRED,1062.3066751801503,164.7394530679607,73.75927972624343,Cicognola|Scagnello,Esselunga,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0020,P2V2S_0020,,PROPOSED_HYPOTHESIS,Scagnello / Esselunga,Calco,45.71758591378165,9.405631667546686,unclassified,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,true,false,FIELD_CHECK_REQUIRED,1170.5688264732585,133.0754389423173,63.5705045278137,Scagnello,Esselunga,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0032,P2V2S_0032,,PROPOSED_HYPOTHESIS,Limito,Calco,45.72205340982413,9.4154874075952,residential,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,true,false,FIELD_CHECK_REQUIRED,378.2827182292669,1310.4023577958512,20.413708856241318,Limito,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0034,P2V2S_0034,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0034,Calco,45.72289838306784,9.426241242080167,service,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,934.7909971081668,430.0816934561846,294.6612093420336,,,stop_universe_v2/proposed_stop_candidates.csv
