budget_suffix,equivalence_group_id,input_plan_count,survivor_plan_count,tie_break_invoked,reduced,exact_tie_after_supported_tiebreak,continuity_tie_break_applied
m10pct,ZB2_4e66cd8f60637f9b,2,2,true,false,true,false
m10pct,ZB2_4e761015533fbdc9,1,1,false,false,false,false
m10pct,ZB2_4ed36913de3447d0,2,2,true,false,true,false
m10pct,ZB2_4ef299a1a695e26a,2,2,true,false,true,false
m10pct,ZB2_4ef6909c456ced2d,2,2,true,false,true,false
m10pct,ZB2_4f522e42b2952980,2,2,true,false,true,false
m10pct,ZB2_4fd93038313d9533,2,2,true,false,true,false
m10pct,ZB2_502164f718836551,2,2,true,false,true,false
m10pct,ZB2_504476b3d5a7abb6,2,2,true,false,true,false
m10pct,ZB2_508f2f4c8b23282c,2,2,true,false,true,false
m10pct,ZB2_50d831ad2dd64c2f,2,2,true,false,true,false
m10pct,ZB2_50ebcd7313581aa8,2,2,true,false,true,false
m10pct,ZB2_5152de53d29b48d0,2,2,true,false,true,false
m10pct,ZB2_51753d5c2106e09b,2,2,true,false,true,false
m10pct,ZB2_51d107bd74c458c0,2,2,true,false,true,false
m10pct,ZB2_525b60cb173924fe,2,2,true,false,true,false
m10pct,ZB2_528578ee71e78cd9,2,2,true,false,true,false
m10pct,ZB2_52f1cd2a1957a461,2,2,true,false,true,false
m10pct,ZB2_52f54d9577530cd8,2,2,true,false,true,false
m10pct,ZB2_53509eb13559b9d7,2,2,true,false,true,false
m10pct,ZB2_53ed9069d779cddc,2,2,true,false,true,false
m10pct,ZB2_540c28ab01d1e0f6,2,2,true,false,true,false
m10pct,ZB2_540fcb26e05d9b8c,2,2,true,false,true,false
m10pct,ZB2_54128b99d2a5f89e,2,2,true,false,true,false
m10pct,ZB2_54208a7ac7a96f62,2,2,true,false,true,false
m10pct,ZB2_544c1606bc40d963,2,2,true,false,true,false
m10pct,ZB2_5457da0170ca71d4,2,2,true,false,true,false
m10pct,ZB2_54bfaee00b686423,2,2,true,false,true,false
