scenario_id,topology_family,uniform_headway_min,span_id,span_start_min,span_end_min,reference_budget_feasible_no_extension_policy_count,current_lower_bound_non_regression_pass,minimum_worst_municipality_threshold_margin_vs_current_lower_bound,s8_complete_supported_route_count,s8_incomplete_supported_route_count,territorial_other_core_worker_mass_upper_bound,territorial_other_external_worker_mass_upper_bound,territorial_total_worker_mass_upper_bound_reporting_only,public_population_coverage_share_5min,public_population_coverage_share_8min,public_population_coverage_share_10min,public_worst_municipality_coverage_share_5min,public_worst_municipality_coverage_share_8min,public_worst_municipality_coverage_share_10min,public_operational_unknown_distance_share_lower_bound,public_explicit_field_check_pending_count,public_distance_km,public_runtime_min,public_route_count,equivalent_metric_scenario_count,frontier_timing_key,was_on_prior_robustness_frontier
P2_0f52691c4877c825,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200,true
P2_0f624a12a91eb943,two_radial_out_and_back_feeders,15,CORE_0600_2200,360,1320,9,True,0.0,2,0,0,0,0,0.06721006766,0.151848525586,0.176394264571,0.0,0.0,0.0,0.0,1,3.184699957,7.546166691,2,2,H15_CORE_0600_2200,true
P2_0f6b0956a34e8f04,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.042292546753,0.111111388972,0.148952581303,0.0,0.0,0.0,0.0,0,1.709094245,4.597510344,1,53,H15_CORE_0600_2200,true
P2_0f81bf1d7143343b,two_radial_out_and_back_feeders,15,CORE_0600_2200,360,1320,3,True,0.0,2,0,0,217,217,0.04746624121,0.140976450475,0.169969467798,0.0,0.0,0.0,0.0,2,6.041361016,14.929668659,2,2,H15_CORE_0600_2200,false
P2_0fa0270c624d95af,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.051041438573,0.132905952412,0.174535248169,0.0,0.0,0.0,0.0,1,2.56838386,7.004683256,1,54,H15_CORE_0600_2200,true
P2_0fea211b4c9c6a90,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.042292546753,0.111111388972,0.148952581303,0.0,0.0,0.0,0.0,0,1.709094245,4.597510344,1,53,H15_CORE_0600_2200,true
P2_106825c9e5591bb1,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.05211502377,0.142162095171,0.170741162628,0.0,0.0,0.0,0.0,1,2.156645432,5.24249741,1,53,H15_CORE_0600_2200,true
P2_123937a071467310,short_turn_overlay,15,CORE_0600_2200,360,1320,6,True,0.0,2,0,0,0,0,0.053426985551,0.137303488455,0.191886964921,0.0,0.0,0.0,0.0,2,3.133656498,8.058248421,2,2,H15_CORE_0600_2200,true
P2_1265d04cc5036811,single_compact_loop,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.06721006766,0.151848525586,0.176394264571,0.0,0.0,0.0,0.0,1,2.871397691,6.111346331,1,2,H15_CORE_0600_2200,true
P2_12ab67d23dce8b93,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200,true
P2_139d6624b610717f,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,217,217,0.03218766368,0.09514565313,0.133225819867,0.0,0.0,0.0,0.0,1,4.242536281,10.372939538,1,53,H15_CORE_0600_2200,false
P2_1440a99c77c80312,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.060786677466,0.115214611952,0.150075560756,0.0,0.0,0.0,0.0,1,2.069205165,4.571521958,1,53,H15_CORE_0600_2200,false
P2_14416019ab0edaa0,single_compact_loop,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,447,0,447,0.06945090849,0.128758471922,0.171153571988,0.0,0.0,0.0,0.0,2,6.365681007,12.271400103,1,2,H15_CORE_0600_2200,false
P2_148070aa07728a86,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200,true
P2_149a35c9c1c5c329,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.0622183843,0.131246275634,0.162320627062,0.0,0.0,0.0,0.0,1,1.54371971,4.27715696,1,53,H15_CORE_0600_2200,true
P2_14f04bebdc442f65,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200,true
P2_14f827efecb4fe0a,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.05211502377,0.142162095171,0.170741162628,0.0,0.0,0.0,0.0,1,2.156645432,5.24249741,1,53,H15_CORE_0600_2200,true
P2_15552ee1feadc176,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.042292546753,0.111111388972,0.148952581303,0.0,0.0,0.0,0.0,0,1.709094245,4.597510344,1,53,H15_CORE_0600_2200,true
P2_15dfbec9ed7c3f00,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.042292546753,0.111111388972,0.148952581303,0.0,0.0,0.0,0.0,0,1.709094245,4.597510344,1,53,H15_CORE_0600_2200,true
P2_15f581d5c29baf16,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200,true
P2_163c399dd8358d4b,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.061409059953,0.159217870766,0.189661881624,0.0,0.0,0.0,0.0,0,2.789180476,4.945358207,1,54,H15_CORE_0600_2200,true
P2_169e4ca2744aeba8,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200,true
P2_16f826a068ee27ce,blank_slate,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,134,0,134,0.067479056636,0.150612331503,0.210590103171,0.0,0.0,0.0,0.0,0,5.613559584,9.18192687,1,2,H15_CORE_0600_2200,true
P2_171217b861c356fd,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.060786677466,0.115214611952,0.150075560756,0.0,0.0,0.0,0.0,1,2.069205165,4.571521958,1,53,H15_CORE_0600_2200,false
P2_184749abbb0a8d91,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.061409059953,0.159217870766,0.189661881624,0.0,0.0,0.0,0.0,0,2.789180476,4.945358207,1,54,H15_CORE_0600_2200,true
P2_19327bfc543643cb,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.051041438573,0.132905952412,0.174535248169,0.0,0.0,0.0,0.0,1,2.56838386,7.004683256,1,54,H15_CORE_0600_2200,true
P2_199069236e2cc5e7,scheduled_extensions,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,134,0,134,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_CORE_0600_2200,true
P2_19b17ec9e51e0a96,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,217,217,0.03218766368,0.09514565313,0.133225819867,0.0,0.0,0.0,0.0,1,4.242536281,10.372939538,1,53,H15_CORE_0600_2200,false
P2_19d543be3e9cf2bf,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.061409059953,0.159217870766,0.189661881624,0.0,0.0,0.0,0.0,0,2.789180476,4.945358207,1,54,H15_CORE_0600_2200,true
P2_1a58d39449a586b4,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.042292546753,0.111111388972,0.148952581303,0.0,0.0,0.0,0.0,0,1.709094245,4.597510344,1,53,H15_CORE_0600_2200,true
P2_1a683eeb21232f2b,scheduled_extensions,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,134,0,134,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_CORE_0600_2200,true
P2_1b56a7c8df7fe792,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,217,217,0.03218766368,0.09514565313,0.133225819867,0.0,0.0,0.0,0.0,1,4.242536281,10.372939538,1,53,H15_CORE_0600_2200,false
P2_1c04dc9f70cefcd1,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.047210120657,0.103830657035,0.131740402853,0.0,0.0,0.0,0.0,0,1.028054525,2.303669281,1,54,H15_CORE_0600_2200,true
P2_1d022121b847b331,two_radial_out_and_back_feeders,15,CORE_0600_2200,360,1320,9,True,0.0,2,0,221,0,221,0.063181410986,0.13635997205,0.177176101775,0.0,0.0,0.0,0.0,1,3.135667857,6.764099943,2,2,H15_CORE_0600_2200,true
P2_1d48c6c8ff9699b3,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.060786677466,0.115214611952,0.150075560756,0.0,0.0,0.0,0.0,1,2.069205165,4.571521958,1,53,H15_CORE_0600_2200,false
P2_1e43749d76ba2ecb,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.047210120657,0.103830657035,0.131740402853,0.0,0.0,0.0,0.0,0,1.028054525,2.303669281,1,54,H15_CORE_0600_2200,true
P2_1e4dde3f8f391f1d,scheduled_extensions,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,134,0,134,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_CORE_0600_2200,true
P2_1ea41580bd82e495,scheduled_extensions,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,134,0,134,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_CORE_0600_2200,true
P2_1eb1f66e2285e24b,scheduled_extensions,15,CORE_0600_2200,360,1320,3,True,0.0,1,0,134,0,134,0.062524413429,0.151116089019,0.207370530572,0.0,0.0,0.0,0.0,0,6.363990446,10.307573164,1,53,H15_CORE_0600_2200,true
P2_1eca08b32c85e4b4,blank_slate,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,221,0,221,0.079750420794,0.167678403918,0.20541398232,0.0,0.0,0.0,0.0,1,4.048218538,7.59276373,1,2,H15_CORE_0600_2200,true
P2_1ee2dbd74e157ab3,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.0622183843,0.131246275634,0.162320627062,0.0,0.0,0.0,0.0,1,1.54371971,4.27715696,1,53,H15_CORE_0600_2200,true
P2_1f78f5fe15dc9fce,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.05211502377,0.142162095171,0.170741162628,0.0,0.0,0.0,0.0,1,2.156645432,5.24249741,1,53,H15_CORE_0600_2200,true
P2_202fb2a0900eb34d,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.042292546753,0.111111388972,0.148952581303,0.0,0.0,0.0,0.0,0,1.709094245,4.597510344,1,53,H15_CORE_0600_2200,true
P2_2072e8f8ab057818,scheduled_extensions,15,CORE_0600_2200,360,1320,9,True,0.0,1,0,0,0,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200,true
