pair_id,source_routing_terminal_id,target_routing_terminal_id,reverse_pair_id,scope
DIR_PAIR_BB09FB433087D1DE,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,FROZEN::300634,DIR_PAIR_A8AC8568A28790D2,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_B1AC27BF5AA33BA7,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,FROZEN::300743,DIR_PAIR_C139F2BFA1F5E673,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_A1C949FD697AD036,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,FROZEN::300782,DIR_PAIR_23E1AC583C74AECA,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_93F5938CB297BB2E,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,FROZEN::300805,DIR_PAIR_1C0EC105198BE092,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_8DBDAB07A8F2A4C0,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,FROZEN::300873,DIR_PAIR_89717B32FCFB5B2C,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_4E72EFF08F61E393,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,FROZEN::300879,DIR_PAIR_DBF278A32BBFDC50,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_2701BF37C8BA717F,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,FROZEN::300956,DIR_PAIR_F1E60F1D998ABEC8,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_7E6D1AD5BC04609D,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,FROZEN::L00407,DIR_PAIR_859DD802EC840136,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_82721FB8439CCD1D,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,MANUAL::CALCO_SCAGNELLO,DIR_PAIR_933AA47787B13911,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_5370197AAE106840,ASF::ARLATE_CANTINA_PIROVANO,ASF::ARLATE_BIVIO_PER_IL_PAESE,DIR_PAIR_851C4A96BBA65EC7,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_D6B5239795F9C609,ASF::ARLATE_CANTINA_PIROVANO,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,DIR_PAIR_87EA17E8680BDFEF,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_117F9F0A90B634DF,ASF::ARLATE_CANTINA_PIROVANO,ASF::BEVERATE_CARTELLO_PAESE,DIR_PAIR_4CF29505A84BD21D,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_F97D20880D704386,ASF::ARLATE_CANTINA_PIROVANO,ASF::BRIVIO_BAR_CRISTALLO,DIR_PAIR_26DAA6D19771039F,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_A5FB2C577CE69EA3,ASF::ARLATE_CANTINA_PIROVANO,ASF::BRIVIO_VIA_COMO_PENSILINA,DIR_PAIR_3F250EAB8574ACF5,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
