stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,tts_stop_name
84934,LEC237_84934,"Lecco, Ai Poggi 90",,45.861,9.4179,,,0,,,,,
84935,LEC239_84935,"Lecco, Ai Poggi 53",,45.8613,9.4163,,,0,,,,,
84936,LEC240_84936,"Lecco, Ai Poggi fr. 64",,45.8575,9.4171,,,0,,,,,
80322,LEC241_80322,"Lecco, Ai Poggi/fr. Montessori",,45.858297,9.415628,,,0,,,,,
84937,LEC242_84937,"Lecco, Ai Poggi 43",,45.858327,9.41453,,,0,,,,,
84938,LEC243_84938,"Lecco, Ai Poggi/Dei Monti",,45.859888,9.411333,,,0,,,,,
84999,LEC163_84999,"Lecco, Montegrappa 22",,45.858,9.4098,,,0,,,,,
80401,LEC181_80401,"Lecco, Eremo 26/28, fr. Ospedale",,45.851977,9.413545,,,0,,,,,
84869,LEC183_84869,"Lecco, Redipuglia/Ferrario",,45.8555,9.4122,,,0,,,,,
84870,LEC184_84870,"Lecco, Montegrappa/Promessi Sposi",,45.858,9.4099,,,0,,,,,
85118,LEC244_85118,"Lecco, Promessi Sposi/Nassiriya",,45.858119,9.408431,,,0,,,,,
84896,LEC245_84896,"Lecco, Promessi Sposi/fr. Goito",,45.8568,9.40649,,,0,,,,,
84897,LEC246_84897,"Lecco, Promessi Sposi/Alimasco",,45.855838,9.40475,,,0,,,,,
84898,LEC215_84898,"Lecco, Promessi Sposi/fr. Questura",,45.85453,9.402823,,,0,,,,,
84942,LEC248_84942,"Lecco, Digione/Carlo Porta",,45.852326,9.395847,,,0,,,,,
84953,LEC120_84953,"Lecco, Volta/Matteotti",,45.856633,9.392552,,,0,,,,,
84917,LEC218_84917,"Lecco, Promessi Sposi/Questura",,45.854423,9.402872,,,0,,,,,
84919,LEC219_84919,"Lecco, Promessi Sposi/Don Ferrante",,45.8556,9.4046,,,0,,,,,
84920,LEC220_84920,"Lecco, Promessi Sposi/fr. Lamarmora",,45.856883,9.406933,,,0,,,,,
84921,LEC221_84921,"Lecco, Promessi Sposi/Montegrappa",,45.858169,9.408643,,,0,,,,,
84947,LEC251_84947,"Lecco, Ai Poggi/Canto",,45.859734,9.411971,,,0,,,,,
84948,LEC252_84948,"Lecco, Ai Poggi/Montessori",,45.858313,9.414442,,,0,,,,,
80565,LEC253_80565,"Lecco, Ai Poggi/fr. Piatti",,45.858325,9.415741,,,0,,,,,
84949,LEC254_84949,"Lecco, Ai Poggi fr. 53",,45.8575,9.417,,,0,,,,,
84950,LEC255_84950,"Lecco, Ai Poggi fr. Per Erna",,45.861066,9.416479,,,0,,,,,
84951,LEC256_84951,"Lecco, Ai Poggi 98",,45.8598,9.4184,,,0,,,,,
84952,LEC257_84952,"Lecco, Ai Poggi fr. 75",,45.860924,9.418033,,,0,,,,,
80323,LEC258_80323,"Lecco, Ai Poggi fr. 89",,45.861995,9.418568,,,0,,,,,
80324,LEC259_80324,"Lecco, Ai Poggi 124",,45.860564,9.421023,,,0,,,,,
80325,LEC260_80325,"Lecco, Ai Poggi fr. Malnago",,45.862452,9.421643,,,0,,,,,
