route_id,stop_id,stop_name,stop_lat,stop_lon,physical_stop_cluster_id,clustering_reason,trip_stop_time_row_count,pattern_count,pattern_ids,pattern_trip_count_sum,min_stop_sequence,max_stop_sequence,activation_evidence_status,current_reference_date,temporary_disruption_excluded,ridership_evidence
D185,300482,Caprino - roccolino,45.74795,9.4859,V4_EQ_482,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,3,3,PAT_31a2d11dc5987084;PAT_4c687aad37135a27;PAT_c890b985971c3bbb,3,2,6,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,L00482,Caprino - roccolino,45.747517,9.485933,V4_EQ_482,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,3,3,PAT_13e1ac93db9e4992;PAT_3a757ae4135a29dd;PAT_4c687aad37135a27,3,2,6,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,L00941,Caprino - via agricoltura/via foppa,45.75276,9.50128,V4_SINGLE_L00941,OFFICIAL_GTFS_SINGLETON_NO_CERTIFIED_EQUIVALENCE,2,2,PAT_13e1ac93db9e4992;PAT_4c687aad37135a27,2,4,8,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,300401,Celana,45.750067,9.492217,V4_EQ_401,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,3,3,PAT_31a2d11dc5987084;PAT_3a757ae4135a29dd;PAT_c890b985971c3bbb,3,1,6,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,L00401,Celana,45.75022,9.49207,V4_EQ_401,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,2,2,PAT_13e1ac93db9e4992;PAT_4c687aad37135a27,2,3,9,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,300062,Cisano - bivio brivio,45.74085,9.4705,V4_EQ_062,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,10,2,PAT_a68a587a68c8a96b;PAT_e573057bf421912e,10,2,6,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,L00062,Cisano - bivio brivio,45.740633,9.471733,V4_EQ_062,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,11,2,PAT_97941fe7235003fe;PAT_fd7b8cc6801c7523,11,12,12,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,300404,Cisano - corso mazzini,45.740283,9.474517,V4_EQ_404,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,11,3,PAT_a68a587a68c8a96b;PAT_c890b985971c3bbb;PAT_e573057bf421912e,11,1,7,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,L00404,Cisano - corso mazzini,45.740117,9.4751,V4_EQ_404,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,12,3,PAT_13e1ac93db9e4992;PAT_97941fe7235003fe;PAT_fd7b8cc6801c7523,12,2,13,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,300484,Cisano - municipio,45.739683,9.478567,V4_EQ_484,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,10,4,PAT_458961fa14d08cd1;PAT_4c687aad37135a27;PAT_a68a587a68c8a96b;PAT_c890b985971c3bbb,10,4,10,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,L00484,Cisano - municipio,45.739667,9.47825,V4_EQ_484,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,11,3,PAT_13e1ac93db9e4992;PAT_3a757ae4135a29dd;PAT_fd7b8cc6801c7523,11,2,14,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,300405,Cisano - sosta,45.739883,9.451267,EX_009,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,10,2,PAT_a68a587a68c8a96b;PAT_e573057bf421912e,10,3,7,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
D185,L00405,Cisano - sosta,45.739967,9.451383,EX_009,EXACT_STOP_ID_TO_FROZEN_CERTIFIED_CLUSTER,11,2,PAT_97941fe7235003fe;PAT_fd7b8cc6801c7523,11,10,10,CURRENT_ROUTE_CONFIRMED_HISTORICAL_ORDINARY_STOP_IDENTITY_TEMPORARY_BRIDGE_DISRUPTION_EXCLUDED,2026-09-04,true,false
