physical_stop_cluster_id,representative_stop_id,representative_stop_name,representative_stop_lat,representative_stop_lon,stop_id_member_count,member_stop_ids,member_stop_names,member_coordinates,routes,pattern_ids,clustering_reasons,certified_phase2_catchment_available
V4_EQ_402,300402,Caprino - piazza marconi,45.74485,9.482017,2,300402;L00402,Caprino - piazza marconi;Caprino - piazza marconi,"45.744850,9.482017;45.744783,9.482233",D185,PAT_13e1ac93db9e4992;PAT_31a2d11dc5987084;PAT_3a757ae4135a29dd;PAT_458961fa14d08cd1;PAT_4c687aad37135a27;PAT_a68a587a68c8a96b;PAT_c890b985971c3bbb;PAT_fd7b8cc6801c7523,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,false
V4_EQ_404,300404,Cisano - corso mazzini,45.740283,9.474517,2,300404;L00404,Cisano - corso mazzini;Cisano - corso mazzini,"45.740283,9.474517;45.740117,9.475100",D185,PAT_13e1ac93db9e4992;PAT_97941fe7235003fe;PAT_a68a587a68c8a96b;PAT_c890b985971c3bbb;PAT_e573057bf421912e;PAT_fd7b8cc6801c7523,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,false
V4_EQ_482,300482,Caprino - roccolino,45.74795,9.4859,2,300482;L00482,Caprino - roccolino;Caprino - roccolino,"45.747950,9.485900;45.747517,9.485933",D185,PAT_13e1ac93db9e4992;PAT_31a2d11dc5987084;PAT_3a757ae4135a29dd;PAT_4c687aad37135a27;PAT_c890b985971c3bbb,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,false
V4_EQ_483,300483,Caprino - bosco,45.741283,9.483367,2,300483;L00483,Caprino - bosco;Caprino - bosco,"45.741283,9.483367;45.741250,9.483483",D185,PAT_13e1ac93db9e4992;PAT_3a757ae4135a29dd;PAT_458961fa14d08cd1;PAT_4c687aad37135a27;PAT_a68a587a68c8a96b;PAT_c890b985971c3bbb;PAT_fd7b8cc6801c7523,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,false
V4_EQ_484,300484,Cisano - municipio,45.739683,9.478567,2,300484;L00484,Cisano - municipio;Cisano - municipio,"45.739683,9.478567;45.739667,9.478250",D185,PAT_13e1ac93db9e4992;PAT_3a757ae4135a29dd;PAT_458961fa14d08cd1;PAT_4c687aad37135a27;PAT_a68a587a68c8a96b;PAT_c890b985971c3bbb;PAT_fd7b8cc6801c7523,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,false
V4_EQ_485,300485,Cisano - stazione f.s.,45.7399,9.474483,2,300485;L00485,Cisano - stazione f.s.;Cisano - stazione f.s,"45.739900,9.474483;45.739740,9.474640",D185,PAT_13e1ac93db9e4992;PAT_3a757ae4135a29dd;PAT_458961fa14d08cd1;PAT_4c687aad37135a27;PAT_97941fe7235003fe,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,false
V4_EQ_807,300807,Colle Brianza - piecastello,45.759617,9.36185,2,300807;L00807,Colle Brianza - piecastello;Colle Brianza - piecastello,"45.759617,9.361850;45.759400,9.361683",D184,PAT_2ad22659f8ca4ff7;PAT_6b1e3cc825f93648;PAT_75b1487d1fcc52dd,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,false
V4_EQ_808,300808,Colle Brianza - nava (monumento),45.7632,9.362617,2,300808;L00808,Colle Brianza - nava (monumento);Colle Brianza - nava (monumento),"45.763200,9.362617;45.763100,9.362467",D184,PAT_2ad22659f8ca4ff7;PAT_6b1e3cc825f93648;PAT_75b1487d1fcc52dd,EXACT_300_L00_SUFFIX_PLUS_EXACT_NORMALISED_OFFICIAL_NAME_PLUS_COORDINATE_COMPATIBILITY,false
V4_SINGLE_300194,300194,Ravellino,45.77242,9.36883,1,300194,Ravellino,"45.772420,9.368830",D184,PAT_2ad22659f8ca4ff7;PAT_75b1487d1fcc52dd,OFFICIAL_GTFS_SINGLETON_NO_CERTIFIED_EQUIVALENCE,false
V4_SINGLE_300403,300403,Caprino - cava,45.738867,9.484067,1,300403,Caprino - cava,"45.738867,9.484067",D185,PAT_458961fa14d08cd1;PAT_4c687aad37135a27;PAT_a68a587a68c8a96b;PAT_c890b985971c3bbb,OFFICIAL_GTFS_SINGLETON_NO_CERTIFIED_EQUIVALENCE,false
V4_SINGLE_300969,300969,Ravellino - via san rocco,45.77018,9.36744,1,300969,Ravellino - via san rocco,"45.770180,9.367440",D184,PAT_6b1e3cc825f93648,OFFICIAL_GTFS_SINGLETON_NO_CERTIFIED_EQUIVALENCE,false
V4_SINGLE_L00486,L00486,Cisano - via torchio,45.741183,9.46165,1,L00486,Cisano - via torchio,"45.741183,9.461650",D185,PAT_97941fe7235003fe;PAT_fd7b8cc6801c7523,OFFICIAL_GTFS_SINGLETON_NO_CERTIFIED_EQUIVALENCE,false
V4_SINGLE_L00941,L00941,Caprino - via agricoltura/via foppa,45.75276,9.50128,1,L00941,Caprino - via agricoltura/via foppa,"45.752760,9.501280",D185,PAT_13e1ac93db9e4992;PAT_4c687aad37135a27,OFFICIAL_GTFS_SINGLETON_NO_CERTIFIED_EQUIVALENCE,false
