journey_key,origin_code,origin_municipality,destination_code,destination_municipality,demand_weight,layer,source_resolution,category,rail_addressability,rail_semantics,spatial_allocation_status,full_gjt_ready,evidence_status
097074>015209,097074,Santa Maria Hoè,015209,Sesto San Giovanni,2.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097074>097002,097074,Santa Maria Hoè,097002,Airuno,6.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097074>097013,097074,Santa Maria Hoè,097013,Calolziocorte,4.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097074>097020,097074,Santa Maria Hoè,097020,Cernusco Lombardone,17.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097074>097042,097074,Santa Maria Hoè,097042,Lecco,50.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097074>097061,097074,Santa Maria Hoè,097061,Osnago,7.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097074>108004,097074,Santa Maria Hoè,108004,Arcore,4.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097074>108016,097074,Santa Maria Hoè,108016,Carnate,4.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097074>108033,097074,Santa Maria Hoè,108033,Monza,6.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097092>015146,097092,La Valletta Brianza,015146,Milano,108.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097092>015209,097092,La Valletta Brianza,015209,Sesto San Giovanni,6.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097092>097002,097092,La Valletta Brianza,097002,Airuno,5.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097092>097013,097092,La Valletta Brianza,097013,Calolziocorte,17.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097092>097020,097092,La Valletta Brianza,097020,Cernusco Lombardone,35.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097092>097042,097092,La Valletta Brianza,097042,Lecco,86.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097092>097061,097092,La Valletta Brianza,097061,Osnago,26.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097092>108004,097092,La Valletta Brianza,108004,Arcore,7.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097092>108016,097092,La Valletta Brianza,108016,Carnate,2.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097092>108033,097092,La Valletta Brianza,108033,Monza,22.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
