route_id,runtime_archetype_id,roles,public_runtime_min,cycle_runtime_min,rail_to_bus_passenger_supported,bus_to_rail_passenger_supported,roundtrip_passenger_supported,passenger_support_class,support_evidence_status,passenger_demand_assigned_to_route,passenger_utility_calculated
R2_cbd4ba30b64d699dad7a,RT2_ece60a750131843c36eb,PUBLIC,26.033460527,26.033460527,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbd645f23050182e201e,RT2_a38a6d61332ee50d384e,PUBLIC,15.462697594,18.924244212,true,false,false,RAIL_TO_BUS_ONLY_PUBLIC_ROUTE_OPEN_AWAY_FROM_HUB,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbd861023afabf9da454,RT2_1cf87c98b40be1a7f61e,PUBLIC,32.160828642,32.160828642,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbd8d61905c9b7a01acf,RT2_d07841b0a0e4d325d5f2,EXTENSION,41.834433917,41.834433917,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbdad20f9073f0dbb4e1,RT2_4b6a6ae9d44f4a905216,EXTENSION,47.112607581,47.112607581,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbdb44bbda09770e1689,RT2_b240e4a64a2cf9b934fc,PUBLIC,29.639565186,29.639565186,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbdb858fe92cb60b1a90,RT2_dd087b93aeffa27ee54c,EXTENSION,44.116068618,44.116068618,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbdd172e2e6fcfb62684,RT2_7e8e26314bad5ed299c2,PUBLIC,18.521422924,18.521422924,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbdd291d3751c0b7f37d,RT2_3a837e8b11ba69fee70f,PUBLIC,16.680032084,16.680032084,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbe0a1575480499e3f9e,RT2_1e4565c5d3c483cde379,PUBLIC,19.436610083,19.436610083,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbe17fb3676163b0c75a,RT2_1db2da78730d3dab1f61,EXTENSION,37.310952500,37.310952500,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbe1d3357f8583c474f5,RT2_e001b879dafbbd4d92e8,EXTENSION,19.657280833,19.657280833,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbe24f4c6e38baf764c5,RT2_5475a0d121cff71484a4,PUBLIC,41.189557532,41.189557532,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbe2f84418a5a98b8016,RT2_1a265e0b378680d30ebb,EXTENSION,19.985431822,19.985431822,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbe51cf24f9ace13a9e8,RT2_abd14253c9a9eff4cd1f,EXTENSION,26.297838959,26.297838959,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbe5604f1cdcc1ded2dd,RT2_ee9fe3434962e5553c37,PUBLIC,18.195439560,18.195439560,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbe7d40ffec41b20c08b,RT2_b744341ffd59a8d1864b,PUBLIC,21.390497065,21.390497065,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbe814872d63aa69b774,RT2_1c368160b75050a25ac9,PUBLIC,27.557988760,27.557988760,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbea3ecb37335c9f7f18,RT2_9d3ad731ab33513864d0,PUBLIC,53.147993850,53.147993850,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbeae6ea6def067ce5dd,RT2_4dc44d7072084a3201f8,PUBLIC,43.016016035,43.016016035,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
