scenario_id,topology_family,uniform_headway_min,span_id,span_start_min,span_end_min,current_lower_bound_non_regression_pass,minimum_worst_municipality_threshold_margin_vs_current_lower_bound,s8_complete_supported_route_count,s8_incomplete_supported_route_count,territorial_other_core_worker_mass_upper_bound,territorial_other_external_worker_mass_upper_bound,territorial_total_worker_mass_upper_bound_reporting_only,public_equal_pattern_set_cycle_distance_km_lower_bound,public_equal_pattern_set_cycle_runtime_min_lower_bound,public_max_single_route_cycle_runtime_min_lower_bound,public_closure_added_route_count,public_explicit_proposed_stop_count,public_explicit_existing_stop_count,public_population_coverage_share_5min,public_population_coverage_share_8min,public_population_coverage_share_10min,public_worst_municipality_coverage_share_5min,public_worst_municipality_coverage_share_8min,public_worst_municipality_coverage_share_10min,public_operational_unknown_distance_share_lower_bound,public_explicit_field_check_pending_count,public_distance_km,public_runtime_min,public_route_count,equivalent_metric_scenario_count,frontier_timing_key,on_reference_budget_multiblock_frontier
P2_5eb99999806d8e31,trunk_plus_branches,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,2,0,162,9,171,37.811454053,70.918364942,43.143562944,2,3,0,0.034118610853,0.099910538463,0.159613051611,0.0,0.019833047594,0.045532564017,0.0,3,27.044475638,48.455299658,2,2,H15_S8_EXTENDED_0530_2400,false
P2_5edcb230c78b8d0f,blank_slate,15,S8_EXTENDED_0530_2400,330,1440,True,0.009466123604,0,1,375,370,745,21.940961269,37.788410535,37.788410535,0,2,2,0.086965312747,0.200854922212,0.290324916733,0.009466123604,0.015804878829,0.022439287684,0.0,2,21.940961269,37.788410535,1,2,H15_S8_EXTENDED_0530_2400,false
P2_5ef98a874aa39312,single_compact_loop,15,S8_EXTENDED_0530_2400,330,1440,True,0.033694851388,0,1,245,0,245,14.409944601,26.807192546,26.807192546,0,1,2,0.092263859806,0.195181173714,0.244902446674,0.033694851388,0.055548320348,0.064912976276,0.0,1,14.409944601,26.807192546,1,2,H15_S8_EXTENDED_0530_2400,false
P2_5efb50161f83ee76,short_turn_overlay,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,2,0,142,0,142,12.297499151,27.452939032,17.34039571,2,1,2,0.09832936265,0.217543550044,0.284931714197,0.0,0.0,0.0,0.0,1,8.276278492,19.96948797,2,2,H15_S8_EXTENDED_0530_2400,false
P2_5f1ebfeb9e352afc,interlined_figure8,15,S8_EXTENDED_0530_2400,330,1440,True,0.0019467878,0,2,753,45,798,27.728879829,48.684407119,26.759639826,0,4,0,0.062497722451,0.167346672387,0.244550133352,0.0019467878,0.002664903301,0.011997838656,0.0,4,27.728879829,48.684407119,2,2,H15_S8_EXTENDED_0530_2400,false
P2_5f225220788821cf,scheduled_extensions,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,1,221,0,221,2.789180476,4.945358207,4.945358207,0,0,1,0.061409059953,0.159217870766,0.189661881624,0.0,0.0,0.0,0.0,0,2.789180476,4.945358207,1,54,H15_S8_EXTENDED_0530_2400,true
P2_5f27730cf743e7f7,blank_slate,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,1,90,0,90,8.140648574,18.842178676,18.842178676,0,3,1,0.100907631516,0.190319224388,0.236389006881,0.0,0.0,0.0,0.0,3,8.140648574,18.842178676,1,2,H15_S8_EXTENDED_0530_2400,false
P2_5f34bcadcef27d0f,scheduled_extensions,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,1,0,0,0,1.709094245,4.597510344,4.597510344,0,0,1,0.042292546753,0.111111388972,0.148952581303,0.0,0.0,0.0,0.0,0,1.709094245,4.597510344,1,53,H15_S8_EXTENDED_0530_2400,true
P2_5f81356056df50eb,hybrid_interlined,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,2,447,0,447,9.153170922,15.252931371,10.307573164,0,0,2,0.091818396615,0.22286541195,0.280493417998,0.0,0.0,0.0,0.0,0,9.153170922,15.252931371,2,2,H15_S8_EXTENDED_0530_2400,false
P2_5f8b1e712aa904f4,scheduled_extensions,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,1,221,0,221,2.077214724,3.877409581,3.877409581,0,0,1,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_S8_EXTENDED_0530_2400,true
P2_5f94f9086cc43e3c,two_radial_out_and_back_feeders,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,2,221,0,221,6.915866742,12.281776071,7.446092005,0,0,2,0.045738463195,0.127081030966,0.188322760628,0.0,5.0341214e-05,5.0341214e-05,0.0,0,6.915866742,12.281776071,2,2,H15_S8_EXTENDED_0530_2400,false
P2_5f9ad927f85074e2,scheduled_extensions,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,1,0,0,0,1.028054525,2.303669281,2.303669281,0,0,1,0.047210120657,0.103830657035,0.131740402853,0.0,0.0,0.0,0.0,0,1.028054525,2.303669281,1,54,H15_S8_EXTENDED_0530_2400,true
P2_5fa3e0f126fe158b,two_independent_loops,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,2,733,54,787,34.502549402,66.4819218,40.123695401,0,4,3,0.150450585904,0.328808611616,0.458562977804,0.0,0.0,0.0,0.0,4,34.502549402,66.4819218,2,2,H15_S8_EXTENDED_0530_2400,false
P2_5fa4bcf298fd8518,trunk_plus_branches,15,S8_EXTENDED_0530_2400,330,1440,True,0.034222283209,2,0,281,0,281,17.748979462,29.73280139,19.425228226,2,0,3,0.08493805716,0.193309105163,0.257368880412,0.034222283209,0.063137253657,0.063137253657,0.0,0,10.858933934,18.053080774,2,2,H15_S8_EXTENDED_0530_2400,false
P2_5fe77a0644ecc691,interlined_figure8,15,S8_EXTENDED_0530_2400,330,1440,True,0.0,0,2,733,54,787,18.896748706,33.859030435,21.924767293,0,2,2,0.079793958306,0.19973600812,0.30220495651,0.0,0.0,0.0,0.0,2,18.896748706,33.859030435,2,2,H15_S8_EXTENDED_0530_2400,false
