structural_link_id,terminal_a,terminal_b,eligibility_status,eligible_for_bidirectional_undirected_structure,a_to_b_requested,a_to_b_pair_id,a_to_b_gate_d_route_found,a_to_b_admitted_corridor_count,a_to_b_min_running_minutes_model,a_to_b_min_distance_m,b_to_a_requested,b_to_a_pair_id,b_to_a_gate_d_route_found,b_to_a_admitted_corridor_count,b_to_a_min_running_minutes_model,b_to_a_min_distance_m,scope
STRUCT_LINK_807487E5803163C2,ASF::BRIVIO_BAR_CRISTALLO,FROZEN::300398,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_497047B9E2A94A7A,True,1,3.35383765,1427.795201,True,DIR_PAIR_2750DE3E54A97295,True,1,3.35383765,1427.795201,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_80C240ED5DF00980,FROZEN::300956,FROZEN::L00407,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_9B1F8AA5D185B594,True,1,5.066967614,2511.075858,True,DIR_PAIR_EE7EC4970CD9A075,True,2,5.352291027,2272.912406,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_87C702F260F948E9,ASF::CALCO_LARGO_POMEA,MANUAL::CALCO_SCAGNELLO,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_8130F600962D8D0A,True,1,1.47435763,973.885224,True,DIR_PAIR_3129E22C6CEBDC86,True,1,1.460958769,964.95265,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_8A71A632D62B87DD,ASF::CALCO_LARGO_POMEA,ASF::CALCO_VIA_GARIBALDI,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_C0CEE20FA18E3388,True,1,0.933129452,613.066439,True,DIR_PAIR_210708EFDECD87A6,True,1,0.885004374,580.983053,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_8AC8BCA48675C638,ASF::CALCO_LARGO_POMEA,FROZEN::300634,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_12BCE30C3C1494C8,True,1,1.347119476,760.510942,True,DIR_PAIR_9256E927DEB695AC,True,1,1.340394487,756.591329,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_8DB2D76D5AE49E36,ASF::VACCAREZZA_CARTELLO_PAESE,FROZEN::300743,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_E0A7326E0CB516F2,True,2,6.490247415,2882.921718,True,DIR_PAIR_FBA1578DF29E225F,True,1,6.490247415,2882.921718,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_8E6F6BF174F0764D,ASF::PEREGO_VIA_STATALE_79,ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_7CE14CCBC34422E3,True,1,0.926949434,617.966289,True,DIR_PAIR_6EB9B462268A720F,True,1,0.926949434,617.966289,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_8ECC520DCAF0B8D0,ASF::CALCO_LARGO_POMEA,ASF::OLGIATE_MOLGORA_VIA_STATALE,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_C41CAD66B6F1CCBE,True,1,3.245046877,1690.599949,True,DIR_PAIR_BFB999F70BC20C94,True,1,3.257008852,1698.574599,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_9324AB07C8D9902A,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300398,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_39CFE56883A26EAF,True,1,7.888775216,3522.09693,True,DIR_PAIR_40A5591F0F2DB3BB,True,1,7.888775216,3522.09693,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_9388705B05BB5BBF,ASF::BRIVIO_BAR_CRISTALLO,ASF::VACCAREZZA_CARTELLO_PAESE,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_1D96B2D456525273,True,1,1.469176737,679.826084,True,DIR_PAIR_2A8FF6FAB057E07F,True,2,1.469176737,679.826084,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
