budget_suffix,annual_bus_km_cap,max_headway_min,scenario_id,topology_family,public_population_covered_10min,public_population_coverage_share_10min,public_worst_municipality_10min,public_worst_municipality_coverage_share_10min,public_structurally_addressable_od_relation_count,public_structurally_addressable_worker_od_mass_upper_bound,frequency_capability_frontier,service_policy_selected,topology_selected,s8_phase_selected
m10pct,100277.100000,20,P2_506f266b07b131de,hybrid_interlined,2633.113118647627,0.115381954646,Brivio,0E-12,4,643.000000000,true,false,false,false
m10pct,100277.100000,20,P2_53fd2d4d99e137fc,blank_slate,2025.618148092314,0.088761770103,Calco,0.000635187109,0,0E-9,true,false,false,false
m10pct,100277.100000,20,P2_5471c22f76d58f25,two_radial_out_and_back_feeders,2025.618148092314,0.088761770103,Calco,0.000635187109,0,0E-9,true,false,false,false
m10pct,100277.100000,20,P2_5bd1d1c1f217fa50,single_compact_loop,3797.276738650846,0.166395134844,La Valletta Brianza,0E-12,6,490.000000000,true,false,false,false
m10pct,100277.100000,20,P2_743efcff93e7e13a,hybrid_interlined,1529.794718651546,0.067034987443,La Valletta Brianza,0.009189912991,2,221.000000000,true,false,false,false
m10pct,100277.100000,20,P2_8031197355654327,blank_slate,1529.794718651546,0.067034987443,La Valletta Brianza,0.009189912991,2,221.000000000,true,false,false,false
m10pct,100277.100000,20,P2_83df62ba410ac17c,two_radial_out_and_back_feeders,2154.462187457761,0.094407663932,Brivio,0.000465712767,0,0E-9,true,false,false,false
m10pct,100277.100000,20,P2_a44745e961005b24,single_compact_loop,6190.777413523043,0.271277368865,Brivio,0E-12,2,221.000000000,true,false,false,false
m10pct,100277.100000,20,P2_a848f533616861ac,hybrid_interlined,2025.618148092314,0.088761770103,Calco,0.000635187109,0,0E-9,true,false,false,false
m10pct,100277.100000,20,P2_b6bbecf922520518,blank_slate,3797.276738650846,0.166395134844,La Valletta Brianza,0E-12,6,490.000000000,true,false,false,false
m10pct,100277.100000,20,P2_b86de7e39a412fe6,two_radial_out_and_back_feeders,1529.794718651546,0.067034987443,La Valletta Brianza,0.009189912991,2,221.000000000,true,false,false,false
m10pct,100277.100000,20,P2_d7760ea126f32a9e,two_radial_out_and_back_feeders,2633.113118647627,0.115381954646,Brivio,0E-12,4,643.000000000,true,false,false,false
m10pct,100277.100000,20,P2_fa603ab2af99a6aa,single_compact_loop,2025.618148092314,0.088761770103,Calco,0.000635187109,0,0E-9,true,false,false,false
